Rk,Name,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank,FantPtpg,RkTm,PF,TotalYds,Ply,Y/P,TO,FL,Pass1stD,CmpTm,PassAttTm,PassYdsTm,PassTDTm,IntTm,NY/A,Pass1stD.1,RushAttTm,RushYdsTm,RushTDTm,Y/ATm,Rush1stD,Pen,PenYds,1stPy,Sc%,TO%,EXP,RushTDTmSans,RushAttTmSans,RushYdsTmSans,CmpTmSans,PassAttTmSans,PassYdsTmSans,PassTDTmSans,IntTmSans,RecTmSans,TgtTmSans,RecYdsTmSans,RecTDTmSans
1,Aaron Rodgers,GNB,QB,31,16,16.0,341,520,4381,38,5,43,269,6.26,2,0.0,0,0,,0,358.0,367.1,359.1,93.0,1,12.0,22.38,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,12,392,1648,8,16,-120,0,1,349,536.0,4261,38
24,Eddie Lacy,GNB,RB,24,16,16.0,0,0,0,0,0,246,1139,4.63,9,55.0,42,427,10.17,4,231.0,280.6,251.6,110.0,6,7.0,14.44,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,5,189,778,349,536,4261,38,6,307,481.0,3834,34
25,Jordy Nelson,GNB,WR,29,16,16.0,0,0,0,0,0,0,0,,0,151.0,98,1519,15.5,13,230.0,330.9,278.9,108.0,2,8.0,14.38,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14,435,1917,349,536,4261,38,6,251,385.0,2742,25
33,Randall Cobb,GNB,WR,24,16,16.0,0,0,0,0,0,11,37,3.36,0,127.0,91,1287,14.14,12,202.0,298.4,247.9,81.0,6,17.0,12.62,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14,424,1880,349,536,4261,38,6,258,409.0,2974,26
187,Davante Adams,GNB,WR,22,16,11.0,0,0,0,0,0,0,0,,0,66.0,38,446,11.74,3,63.0,103.6,81.6,,78,,3.94,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14,435,1917,349,536,4261,38,6,311,470.0,3815,35
201,James Starks,GNB,RB,28,16,0.0,0,0,0,0,0,85,333,3.92,2,29.0,18,140,7.78,0,59.0,83.3,68.3,,57,,3.69,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,12,350,1584,349,536,4261,38,6,331,507.0,4121,38
216,Andrew Quarless,GNB,TE,26,16,11.0,0,0,0,0,0,0,0,,0,46.0,29,323,11.14,3,54.0,82.3,64.8,,22,,3.38,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14,435,1917,349,536,4261,38,6,320,490.0,3938,35
262,Richard Rodgers,GNB,TE,22,16,5.0,0,0,0,0,0,0,0,,0,30.0,20,225,11.25,2,35.0,57.5,44.5,,34,,2.19,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14,435,1917,349,536,4261,38,6,329,506.0,4036,36
335,John Kuhn,GNB,RB,32,16,2.0,0,0,0,0,0,24,85,3.54,1,4.0,4,23,5.75,0,17.0,20.8,18.8,,100,,1.06,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,13,411,1832,349,536,4261,38,6,345,532.0,4238,38
411,DuJuan Harris,GNB,RB,26,15,0.0,0,0,0,0,0,16,64,4.0,0,2.0,1,11,11.0,0,8.0,8.5,8.0,,126,,0.53,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14,419,1853,349,536,4261,38,6,348,534.0,4250,38
