Rk,Name,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank,FantPtpg,RkTm,PF,TotalYds,Ply,Y/P,TO,FL,Pass1stD,CmpTm,PassAttTm,PassYdsTm,PassTDTm,IntTm,NY/A,Pass1stD.1,RushAttTm,RushYdsTm,RushTDTm,Y/ATm,Rush1stD,Pen,PenYds,1stPy,Sc%,TO%,EXP,RushTDTmSans,RushAttTmSans,RushYdsTmSans,CmpTmSans,PassAttTmSans,PassYdsTmSans,PassTDTmSans,IntTmSans,RecTmSans,TgtTmSans,RecYdsTmSans,RecTDTmSans
426,Brandon Bostick,GNB,TE,25,13,0.0,0,0,0,0,0,0,0,,0,4.0,2,3,1.5,1,6.0,8.3,7.3,,72,,0.46,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14,435,1917,349,536,4261,38,6,347,532.0,4258,37
479,Jarrett Boykin,GNB,WR,25,13,3.0,0,0,0,0,0,0,0,,0,12.0,3,23,7.67,0,2.0,5.3,3.8,,186,,0.15,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14,435,1917,349,536,4261,38,6,346,524.0,4238,38
486,Jeff Janis,GNB,WR,23,3,0.0,0,0,0,0,0,0,0,,0,2.0,2,16,8.0,0,2.0,3.6,2.6,,190,,0.67,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14,435,1917,349,536,4261,38,6,347,534.0,4245,38
515,Matt Flynn,GNB,QB,29,7,0.0,8,16,66,0,1,10,-10,-1.0,0,0.0,0,0,,0,-2.0,-0.4,-1.4,,75,,-0.29,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14,425,1927,341,520,4195,38,5,349,536.0,4261,38
2,Andrew Luck,IND,QB,25,16,16.0,380,616,4761,40,16,64,273,4.27,3,0.0,0,0,,0,356.0,379.7,367.7,90.0,2,13.0,22.25,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,6,351,1339,30,45,133,2,0,410,661.0,4894,42
43,T.Y. Hilton,IND,WR,25,15,15.0,0,0,0,0,0,2,20,10.0,0,131.0,82,1345,16.4,7,179.0,262.5,217.5,57.0,10,25.0,11.93,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9,413,1592,410,661,4894,42,16,328,530.0,3549,35
83,Coby Fleener,IND,TE,26,16,12.0,0,0,0,0,0,0,0,,0,92.0,51,774,15.18,8,125.0,179.4,150.9,35.0,6,40.0,7.81,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9,415,1612,410,661,4894,42,16,359,569.0,4120,34
96,Ahmad Bradshaw,IND,RB,28,10,1.0,0,0,0,0,0,90,425,4.72,2,47.0,38,300,7.89,6,117.0,162.5,135.5,,26,,11.7,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,7,325,1187,410,661,4894,42,16,372,614.0,4594,36
132,Trent Richardson,IND,RB,24,15,12.0,0,0,0,0,0,159,519,3.26,3,34.0,27,229,8.48,0,91.0,124.8,104.3,,35,,6.07,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,6,256,1093,410,661,4894,42,16,383,627.0,4665,42
136,Reggie Wayne,IND,WR,36,15,15.0,0,0,0,0,0,0,0,,0,116.0,64,779,12.17,2,90.0,155.9,119.9,,57,,6.0,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9,415,1612,410,661,4894,42,16,346,545.0,4115,40
140,Dwayne Allen,IND,TE,24,13,13.0,0,0,0,0,0,0,0,,0,50.0,29,395,13.62,8,88.0,119.5,102.0,,13,,6.77,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9,415,1612,410,661,4894,42,16,381,611.0,4499,34
183,Hakeem Nicks,IND,WR,26,16,6.0,0,0,0,0,0,0,0,,0,68.0,38,405,10.66,4,65.0,105.5,83.5,,75,,4.06,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9,415,1612,410,661,4894,42,16,372,593.0,4489,38
184,Donte Moncrief,IND,WR,21,16,2.0,0,0,0,0,0,4,17,4.25,0,49.0,32,444,13.88,3,64.0,99.1,80.1,,76,,4.0,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9,411,1595,410,661,4894,42,16,378,612.0,4450,39
217,Dan Herron,IND,RB,25,16,3.0,0,0,0,0,0,78,351,4.5,1,26.0,21,173,8.24,0,54.0,83.4,64.9,,62,,3.38,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,8,337,1261,410,661,4894,42,16,389,635.0,4721,42
302,Jack Doyle,IND,TE,24,16,1.0,0,0,0,0,0,0,0,,0,22.0,18,118,6.56,2,24.0,44.8,32.8,,45,,1.5,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9,415,1612,410,661,4894,42,16,392,639.0,4776,40
337,Matt Hasselbeck,IND,QB,39,4,0.0,30,44,301,2,0,8,-11,-1.38,0,0.0,0,0,,0,17.0,20.9,16.9,,50,,4.25,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9,407,1623,380,617,4593,40,16,410,661.0,4894,42
351,Zurlon Tipton,IND,RB,24,6,0.0,0,0,0,0,0,10,18,1.8,0,6.0,6,68,11.33,1,15.0,20.6,17.6,,106,,2.5,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9,405,1594,410,661,4894,42,16,404,655.0,4826,41
504,Josh Cribbs,IND,WR,31,6,0.0,0,0,0,0,0,0,0,,0,1.0,1,8,8.0,0,1.0,1.8,1.3,,197,,0.17,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9,415,1612,410,661,4894,42,16,409,660.0,4886,42
522,Weslye Saunders,IND,,25,1,0.0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,97,,,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9,415,1612,410,661,4894,42,16,410,,4894,42
542,Michael Hill,IND,,25,0,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,157,,,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9,415,1612,410,661,4894,42,16,410,,4894,42
3,Russell Wilson,SEA,QB,26,16,16.0,285,452,3475,20,7,118,849,7.19,6,1.0,1,17,17.0,0,332.0,343.6,337.1,66.0,3,21.0,20.75,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,14,407,1913,2,2,-225,0,0,286,453.0,3233,20
15,Marshawn Lynch,SEA,RB,28,16,14.0,0,0,0,0,0,280,1306,4.66,13,48.0,37,367,9.92,4,265.0,310.3,283.8,144.0,3,3.0,16.56,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,7,245,1456,287,454,3250,20,7,250,406.0,2883,16
116,Doug Baldwin,SEA,WR,26,16,16.0,0,0,0,0,0,1,8,8.0,0,98.0,66,825,12.5,3,101.0,170.3,134.3,,44,,6.31,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20,524,2754,287,454,3250,20,7,221,356.0,2425,17
185,Jermaine Kearse,SEA,WR,24,15,14.0,1,1,17,0,0,2,15,7.5,0,69.0,38,537,14.13,1,64.0,102.9,80.9,,77,,4.27,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20,523,2747,286,453,3233,20,7,249,385.0,2713,19
198,Robert Turbin,SEA,RB,25,16,3.0,0,0,0,0,0,74,310,4.19,0,20.0,16,186,11.63,2,60.0,82.6,67.6,,56,,3.75,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20,451,2452,287,454,3250,20,7,271,434.0,3064,18
209,Luke Willson,SEA,TE,24,15,10.0,0,0,0,0,0,0,0,,0,40.0,22,362,16.45,3,56.0,79.2,65.2,,20,,3.73,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20,525,2762,287,454,3250,20,7,265,414.0,2888,17
271,Paul Richardson,SEA,WR,22,15,6.0,0,0,0,0,0,0,0,,0,44.0,29,271,9.34,1,33.0,65.1,47.6,,111,,2.2,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20,525,2762,287,454,3250,20,7,258,410.0,2979,19
277,Ricardo Lockette,SEA,WR,28,16,0.0,0,0,0,0,0,1,2,2.0,0,15.0,11,195,17.73,2,32.0,45.7,37.2,,113,,2.0,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20,524,2760,287,454,3250,20,7,276,439.0,3055,18
279,Cooper Helfet,SEA,TE,25,10,2.0,0,0,0,0,0,0,0,,0,24.0,12,185,15.42,2,31.0,45.5,36.5,,40,,3.1,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20,525,2762,287,454,3250,20,7,275,430.0,3065,18
326,Tony Moeaki,SEA,TE,27,6,2.0,0,0,0,0,0,0,0,,0,13.0,8,134,16.75,1,19.0,30.4,23.4,,48,,3.17,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20,525,2762,287,454,3250,20,7,279,441.0,3116,19
327,Christine Michael,SEA,RB,24,10,0.0,0,0,0,0,0,34,175,5.15,0,2.0,1,12,12.0,0,19.0,22.7,19.2,,98,,1.9,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20,491,2587,287,454,3250,20,7,286,452.0,3238,20
394,Kevin Norwood,SEA,WR,25,9,2.0,0,0,0,0,0,0,0,,0,10.0,9,102,11.33,0,10.0,22.2,14.7,,156,,1.11,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20,525,2762,287,454,3250,20,7,278,444.0,3148,20
401,Derrick Coleman,SEA,RB,24,5,1.0,0,0,0,0,0,0,0,,0,2.0,2,29,14.5,1,9.0,10.9,9.9,,123,,1.8,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20,525,2762,287,454,3250,20,7,285,452.0,3221,19
406,Zach Miller,SEA,TE,29,3,3.0,0,0,0,0,0,0,0,,0,7.0,6,76,12.67,0,8.0,13.6,10.6,,69,,2.67,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20,525,2762,287,454,3250,20,7,281,447.0,3174,20
434,Bryan Walters,SEA,WR,27,13,0.0,0,0,0,0,0,1,-2,-2.0,0,11.0,6,57,9.5,0,6.0,11.5,8.5,,171,,0.46,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20,524,2764,287,454,3250,20,7,281,443.0,3193,20
500,Will Tukuafu,SEA,RB,30,9,2.0,0,0,0,0,0,1,2,2.0,0,2.0,1,4,4.0,0,1.0,1.6,1.1,,152,,0.11,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20,524,2760,287,454,3250,20,7,286,452.0,3246,20
521,Keavon Milton,SEA,,24,1,0.0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,101,,,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20,525,2762,287,454,3250,20,7,287,,3250,20
531,Rashaun Allen,SEA,,24,1,0.0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,108,,,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20,525,2762,287,454,3250,20,7,287,,3250,20
545,Allen Bradford,SEA,,26,1,0.0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,156,,,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20,525,2762,287,454,3250,20,7,287,,3250,20
4,Peyton Manning,DEN,QB,38,16,16.0,395,597,4727,39,15,24,-24,-1.0,0,0.0,0,0,,0,313.0,332.7,327.7,47.0,4,32.0,19.56,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15,419,1809,4,10,-66,1,0,399,607.0,4661,40
26,Demaryius Thomas,DEN,WR,27,16,16.0,0,0,0,0,0,0,0,,0,184.0,111,1619,14.59,11,230.0,343.9,285.4,108.0,3,9.0,14.38,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15,443,1785,399,607,4661,40,15,288,423.0,3042,29
34,Emmanuel Sanders,DEN,WR,27,16,16.0,0,0,0,0,0,8,44,5.5,0,141.0,101,1404,13.9,9,201.0,304.8,251.3,79.0,7,18.0,12.56,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15,435,1741,399,607,4661,40,15,298,466.0,3257,31
44,C.J. Anderson,DEN,RB,23,15,7.0,0,0,0,0,0,179,849,4.74,8,44.0,34,324,9.53,2,177.0,217.3,194.3,56.0,11,26.0,11.8,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,7,264,936,399,607,4661,40,15,365,563.0,4337,38
88,Julius Thomas,DEN,TE,26,13,10.0,0,0,0,0,0,0,0,,0,62.0,43,489,11.37,12,121.0,166.9,142.4,31.0,7,45.0,9.31,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15,443,1785,399,607,4661,40,15,356,545.0,4172,28
150,Ronnie Hillman,DEN,RB,23,8,4.0,0,0,0,0,0,106,434,4.09,3,34.0,21,139,6.62,1,81.0,108.3,91.8,,39,,10.12,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,12,337,1351,399,607,4661,40,15,378,573.0,4522,39
206,Wes Welker,DEN,WR,33,14,8.0,0,0,0,0,0,0,0,,0,64.0,49,464,9.47,2,58.0,110.4,82.9,,88,,4.14,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15,443,1785,399,607,4661,40,15,350,543.0,4197,38
234,Juwan Thompson,DEN,RB,22,15,0.0,0,0,0,0,0,54,272,5.04,3,7.0,4,25,6.25,0,48.0,54.7,49.7,,69,,3.2,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,12,389,1513,399,607,4661,40,15,395,600.0,4636,40
289,Montee Ball,DEN,RB,24,5,3.0,0,0,0,0,0,55,172,3.13,1,13.0,9,62,6.89,0,27.0,40.4,31.9,,87,,5.4,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,14,388,1613,399,607,4661,40,15,390,594.0,4599,40
315,Jacob Tamme,DEN,TE,29,15,0.0,0,0,0,0,0,0,0,,0,28.0,14,109,7.79,2,21.0,38.9,27.9,,47,,1.4,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15,443,1785,399,607,4661,40,15,385,579.0,4552,38
353,Virgil Green,DEN,TE,26,13,9.0,0,0,0,0,0,2,3,1.5,0,6.0,6,74,12.33,1,14.0,19.7,16.7,,54,,1.08,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15,441,1782,399,607,4661,40,15,393,601.0,4587,39
435,Brock Osweiler,DEN,QB,24,4,0.0,4,10,52,1,0,8,0,0.0,0,0.0,0,0,,0,6.0,6.1,6.1,,57,,1.5,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15,435,1785,395,597,4609,39,15,399,607.0,4661,40
444,Andre Caldwell,DEN,WR,29,16,2.0,0,0,0,0,0,0,0,,0,15.0,5,47,9.4,0,5.0,9.7,7.2,,175,,0.31,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15,443,1785,399,607,4661,40,15,394,592.0,4614,40
476,Jeremy Stewart,DEN,RB,25,6,0.0,0,0,0,0,0,6,22,3.67,0,0.0,0,0,,0,2.0,2.2,2.2,,143,,0.33,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15,437,1763,399,607,4661,40,15,399,607.0,4661,40
481,Cody Latimer,DEN,WR,22,8,0.0,0,0,0,0,0,0,0,,0,4.0,2,23,11.5,0,2.0,4.3,3.3,,187,,0.25,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15,443,1785,399,607,4661,40,15,397,603.0,4638,40
513,Isaiah Burse,DEN,,23,12,0.0,0,0,0,0,0,0,0,,0,1.0,0,0,,0,-2.0,-1.0,-2.0,,227,,-0.17,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15,443,1785,399,607,4661,40,15,399,606.0,4661,40
534,Dominique Jones,DEN,,27,1,0.0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,102,,,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15,443,1785,399,607,4661,40,15,399,,4661,40
5,Ben Roethlisberger,PIT,QB,32,16,16.0,408,608,4952,32,9,33,27,0.82,0,0.0,0,-6,,0,310.0,323.2,315.2,45.0,5,35.0,19.38,7,436,6577,1068,6.2,21,11,379,411,612,4825,33,10,7.5,243,423,1752,10,4.1,98,103,834,38,41.4,11.5,162.53,10,390,1725,3,4,-127,1,1,411,612.0,4831,33
8,Le'Veon Bell,PIT,RB,22,16,16.0,0,0,0,0,0,290,1361,4.69,8,105.0,83,854,10.29,3,288.0,376.5,329.0,167.0,2,2.0,18.0,7,436,6577,1068,6.2,21,11,379,411,612,4825,33,10,7.5,243,423,1752,10,4.1,98,103,834,38,41.4,11.5,162.53,2,133,391,411,612,4825,33,10,328,507.0,3971,30
19,Antonio Brown,PIT,WR,26,16,16.0,2,2,20,1,0,4,13,3.25,0,181.0,129,1698,13.16,13,252.0,391.9,322.4,130.0,1,4.0,15.75,7,436,6577,1068,6.2,21,11,379,411,612,4825,33,10,7.5,243,423,1752,10,4.1,98,103,834,38,41.4,11.5,162.53,10,419,1739,409,610,4805,32,10,282,431.0,3127,20
113,Martavis Bryant,PIT,WR,23,10,3.0,0,0,0,0,0,3,12,4.0,0,48.0,26,549,21.12,8,104.0,133.1,117.1,,42,,10.4,7,436,6577,1068,6.2,21,11,379,411,612,4825,33,10,7.5,243,423,1752,10,4.1,98,103,834,38,41.4,11.5,162.53,10,420,1740,411,612,4825,33,10,385,564.0,4276,25
126,Heath Miller,PIT,TE,32,16,16.0,0,0,0,0,0,0,0,,0,91.0,66,761,11.53,3,94.0,164.1,127.1,4.0,11,70.0,5.88,7,436,6577,1068,6.2,21,11,379,411,612,4825,33,10,7.5,243,423,1752,10,4.1,98,103,834,38,41.4,11.5,162.53,10,423,1752,411,612,4825,33,10,345,521.0,4064,30
157,Markus Wheaton,PIT,WR,23,16,11.0,0,0,0,0,0,4,19,4.75,0,86.0,53,644,12.15,2,78.0,134.3,104.8,,62,,4.88,7,436,6577,1068,6.2,21,11,379,411,612,4825,33,10,7.5,243,423,1752,10,4.1,98,103,834,38,41.4,11.5,162.53,10,419,1733,411,612,4825,33,10,358,526.0,4181,31
269,Lance Moore,PIT,WR,31,14,2.0,0,0,0,0,0,0,0,,0,26.0,14,198,14.14,2,34.0,50.8,40.8,,109,,2.43,7,436,6577,1068,6.2,21,11,379,411,612,4825,33,10,7.5,243,423,1752,10,4.1,98,103,834,38,41.4,11.5,162.53,10,423,1752,411,612,4825,33,10,397,586.0,4627,31
365,Matt Spaeth,PIT,WR,31,15,8.0,0,0,0,0,0,0,0,,0,4.0,3,46,15.33,1,13.0,15.6,14.1,,145,,0.87,7,436,6577,1068,6.2,21,11,379,411,612,4825,33,10,7.5,243,423,1752,10,4.1,98,103,834,38,41.4,11.5,162.53,10,423,1752,411,612,4825,33,10,408,608.0,4779,32
420,Justin Brown,PIT,WR,23,8,1.0,0,0,0,0,0,0,0,,0,21.0,12,94,7.83,0,7.0,20.4,13.4,,164,,0.88,7,436,6577,1068,6.2,21,11,379,411,612,4825,33,10,7.5,243,423,1752,10,4.1,98,103,834,38,41.4,11.5,162.53,10,423,1752,411,612,4825,33,10,399,591.0,4731,33
