Rk,Name,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,FantPprPt,DKPt,FDPt,VBD,PosRank,OvRank,FantPprPtpg,RkTm,PF,TotalYds,Ply,Y/P,TO,FL,Pass1stD,CmpTm,PassAttTm,PassYdsTm,PassTDTm,IntTm,NY/A,Pass1stD.1,RushAttTm,RushYdsTm,RushTDTm,Y/ATm,Rush1stD,Pen,PenYds,1stPy,Sc%,TO%,EXP,RushTDTmSans,RushAttTmSans,RushYdsTmSans,CmpTmSans,PassAttTmSans,PassYdsTmSans,PassTDTmSans,IntTmSans,RecTmSans,TgtTmSans,RecYdsTmSans,RecTDTmSans
515,Matt Flynn,GNB,QB,29,7,0.0,18.3,36.6,150.9,0.0,2.3,22.9,-22.9,-1.0,0.0,0.0,0.0,0.0,,0.0,-4.6,-0.4,-1.4,,75,,-0.29,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14.0,412.1,1939.9,330.7,499.4,4110.1,38.0,3.7,349.0,536.0,4261.0,38.0
2,Andrew Luck,IND,QB,25,16,16.0,380.0,616.0,4761.0,40.0,16.0,64.0,273.0,4.27,3.0,0.0,0.0,0.0,,0.0,356.0,379.7,367.7,90.0,2,13.0,22.25,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,6.0,351.0,1339.0,30.0,45.0,133.0,2.0,0.0,410.0,661.0,4894.0,42.0
43,T.Y. Hilton,IND,WR,25,15,15.0,0.0,0.0,0.0,0.0,0.0,2.1,21.3,10.0,0.0,139.7,87.5,1434.7,16.4,7.5,278.4,262.5,217.5,57.0,10,25.0,17.4,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9.0,412.9,1590.7,410.0,661.0,4894.0,42.0,16.0,322.5,521.3,3459.3,34.5
83,Coby Fleener,IND,TE,26,16,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,92.0,51.0,774.0,15.18,8.0,176.0,179.4,150.9,35.0,6,40.0,11.0,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9.0,415.0,1612.0,410.0,661.0,4894.0,42.0,16.0,359.0,569.0,4120.0,34.0
96,Ahmad Bradshaw,IND,RB,28,10,1.0,0.0,0.0,0.0,0.0,0.0,144.0,680.0,4.72,3.2,75.2,60.8,480.0,7.89,9.6,248.0,162.5,135.5,,26,,15.5,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,5.8,271.0,932.0,410.0,661.0,4894.0,42.0,16.0,349.2,585.8,4414.0,32.4
132,Trent Richardson,IND,RB,24,15,12.0,0.0,0.0,0.0,0.0,0.0,169.6,553.6,3.26,3.2,36.3,28.8,244.3,8.48,0.0,125.9,124.8,104.3,,35,,7.87,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,5.8,245.4,1058.4,410.0,661.0,4894.0,42.0,16.0,381.2,624.7,4649.7,42.0
136,Reggie Wayne,IND,WR,36,15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,123.7,68.3,830.9,12.17,2.1,164.3,155.9,119.9,,57,,10.27,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9.0,415.0,1612.0,410.0,661.0,4894.0,42.0,16.0,341.7,537.3,4063.1,39.9
140,Dwayne Allen,IND,TE,24,13,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,61.5,35.7,486.2,13.62,9.8,144.0,119.5,102.0,,13,,9.0,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9.0,415.0,1612.0,410.0,661.0,4894.0,42.0,16.0,374.3,599.5,4407.8,32.2
183,Hakeem Nicks,IND,WR,26,16,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,68.0,38.0,405.0,10.66,4.0,103.0,105.5,83.5,,75,,6.44,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9.0,415.0,1612.0,410.0,661.0,4894.0,42.0,16.0,372.0,593.0,4489.0,38.0
184,Donte Moncrief,IND,WR,21,16,2.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,4.25,0.0,49.0,32.0,444.0,13.88,3.0,96.0,99.1,80.1,,76,,6.0,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9.0,411.0,1595.0,410.0,661.0,4894.0,42.0,16.0,378.0,612.0,4450.0,39.0
217,Dan Herron,IND,RB,25,16,3.0,0.0,0.0,0.0,0.0,0.0,78.0,351.0,4.5,1.0,26.0,21.0,173.0,8.24,0.0,75.0,83.4,64.9,,62,,4.69,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,8.0,337.0,1261.0,410.0,661.0,4894.0,42.0,16.0,389.0,635.0,4721.0,42.0
302,Jack Doyle,IND,TE,24,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,22.0,18.0,118.0,6.56,2.0,42.0,44.8,32.8,,45,,2.62,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9.0,415.0,1612.0,410.0,661.0,4894.0,42.0,16.0,392.0,639.0,4776.0,40.0
337,Matt Hasselbeck,IND,QB,39,4,0.0,120.0,176.0,1204.0,8.0,0.0,32.0,-44.0,-1.38,0.0,0.0,0.0,0.0,,0.0,68.0,20.9,16.9,,50,,4.25,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9.0,383.0,1656.0,290.0,485.0,3690.0,34.0,16.0,410.0,661.0,4894.0,42.0
351,Zurlon Tipton,IND,RB,24,6,0.0,0.0,0.0,0.0,0.0,0.0,26.7,48.0,1.8,0.0,16.0,16.0,181.3,11.33,2.7,56.0,20.6,17.6,,106,,3.5,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9.0,388.3,1564.0,410.0,661.0,4894.0,42.0,16.0,394.0,645.0,4712.7,39.3
504,Josh Cribbs,IND,WR,31,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.7,2.7,21.3,8.0,0.0,5.3,1.8,1.3,,197,,0.33,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9.0,415.0,1612.0,410.0,661.0,4894.0,42.0,16.0,407.3,658.3,4872.7,42.0
522,Weslye Saunders,IND,,25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,97,,0.0,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,9.0,415.0,1612.0,410.0,661.0,4894.0,42.0,16.0,410.0,,4894.0,42.0
542,Michael Hill,IND,,25,0,,,,,,,,,,,,,,,,,,,,157,,,6,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,86.38,,,,,,,,,,,,
3,Russell Wilson,SEA,QB,26,16,16.0,285.0,452.0,3475.0,20.0,7.0,118.0,849.0,7.19,6.0,1.0,1.0,17.0,17.0,0.0,333.0,343.6,337.1,66.0,3,21.0,20.81,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,14.0,407.0,1913.0,2.0,2.0,-225.0,0.0,0.0,286.0,453.0,3233.0,20.0
15,Marshawn Lynch,SEA,RB,28,16,14.0,0.0,0.0,0.0,0.0,0.0,280.0,1306.0,4.66,13.0,48.0,37.0,367.0,9.92,4.0,302.0,310.3,283.8,144.0,3,3.0,18.88,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,7.0,245.0,1456.0,287.0,454.0,3250.0,20.0,7.0,250.0,406.0,2883.0,16.0
116,Doug Baldwin,SEA,WR,26,16,16.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,0.0,98.0,66.0,825.0,12.5,3.0,167.0,170.3,134.3,,44,,10.44,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20.0,524.0,2754.0,287.0,454.0,3250.0,20.0,7.0,221.0,356.0,2425.0,17.0
185,Jermaine Kearse,SEA,WR,24,15,14.0,1.1,1.1,18.1,0.0,0.0,2.1,16.0,7.5,0.0,73.6,40.5,572.8,14.13,1.1,108.8,102.9,80.9,,77,,6.8,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20.0,522.9,2746.0,285.9,452.9,3231.9,20.0,7.0,246.5,380.4,2677.2,18.9
198,Robert Turbin,SEA,RB,25,16,3.0,0.0,0.0,0.0,0.0,0.0,74.0,310.0,4.19,0.0,20.0,16.0,186.0,11.63,2.0,76.0,82.6,67.6,,56,,4.75,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20.0,451.0,2452.0,287.0,454.0,3250.0,20.0,7.0,271.0,434.0,3064.0,18.0
209,Luke Willson,SEA,TE,24,15,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,42.7,23.5,386.1,16.45,3.2,83.2,79.2,65.2,,20,,5.2,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20.0,525.0,2762.0,287.0,454.0,3250.0,20.0,7.0,263.5,411.3,2863.9,16.8
271,Paul Richardson,SEA,WR,22,15,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,46.9,30.9,289.1,9.34,1.1,66.1,65.1,47.6,,111,,4.13,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20.0,525.0,2762.0,287.0,454.0,3250.0,20.0,7.0,256.1,407.1,2960.9,18.9
277,Ricardo Lockette,SEA,WR,28,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,15.0,11.0,195.0,17.73,2.0,43.0,45.7,37.2,,113,,2.69,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20.0,524.0,2760.0,287.0,454.0,3250.0,20.0,7.0,276.0,439.0,3055.0,18.0
279,Cooper Helfet,SEA,TE,25,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,38.4,19.2,296.0,15.42,3.2,68.8,45.5,36.5,,40,,4.3,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20.0,525.0,2762.0,287.0,454.0,3250.0,20.0,7.0,267.8,415.6,2954.0,16.8
326,Tony Moeaki,SEA,TE,27,6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,34.7,21.3,357.3,16.75,2.7,72.0,30.4,23.4,,48,,4.5,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20.0,525.0,2762.0,287.0,454.0,3250.0,20.0,7.0,265.7,419.3,2892.7,17.3
327,Christine Michael,SEA,RB,24,10,0.0,0.0,0.0,0.0,0.0,0.0,54.4,280.0,5.15,0.0,3.2,1.6,19.2,12.0,0.0,32.0,22.7,19.2,,98,,2.0,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20.0,470.6,2482.0,287.0,454.0,3250.0,20.0,7.0,285.4,450.8,3230.8,20.0
394,Kevin Norwood,SEA,WR,25,9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,17.8,16.0,181.3,11.33,0.0,33.8,22.2,14.7,,156,,2.11,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20.0,525.0,2762.0,287.0,454.0,3250.0,20.0,7.0,271.0,436.2,3068.7,20.0
401,Derrick Coleman,SEA,RB,24,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.4,6.4,92.8,14.5,3.2,35.2,10.9,9.9,,123,,2.2,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20.0,525.0,2762.0,287.0,454.0,3250.0,20.0,7.0,280.6,447.6,3157.2,16.8
406,Zach Miller,SEA,TE,29,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,37.3,32.0,405.3,12.67,0.0,74.7,13.6,10.6,,69,,4.67,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20.0,525.0,2762.0,287.0,454.0,3250.0,20.0,7.0,255.0,416.7,2844.7,20.0
434,Bryan Walters,SEA,WR,27,13,0.0,0.0,0.0,0.0,0.0,0.0,1.2,-2.5,-2.0,0.0,13.5,7.4,70.2,9.5,0.0,14.8,11.5,8.5,,171,,0.92,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20.0,523.8,2764.5,287.0,454.0,3250.0,20.0,7.0,279.6,440.5,3179.8,20.0
500,Will Tukuafu,SEA,RB,30,9,2.0,0.0,0.0,0.0,0.0,0.0,1.8,3.6,2.0,0.0,3.6,1.8,7.1,4.0,0.0,3.6,1.6,1.1,,152,,0.22,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20.0,523.2,2758.4,287.0,454.0,3250.0,20.0,7.0,285.2,450.4,3242.9,20.0
521,Keavon Milton,SEA,,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,101,,0.0,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20.0,525.0,2762.0,287.0,454.0,3250.0,20.0,7.0,287.0,,3250.0,20.0
531,Rashaun Allen,SEA,,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,108,,0.0,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20.0,525.0,2762.0,287.0,454.0,3250.0,20.0,7.0,287.0,,3250.0,20.0
545,Allen Bradford,SEA,,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,156,,0.0,10,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,135.41,20.0,525.0,2762.0,287.0,454.0,3250.0,20.0,7.0,287.0,,3250.0,20.0
4,Peyton Manning,DEN,QB,38,16,16.0,395.0,597.0,4727.0,39.0,15.0,24.0,-24.0,-1.0,0.0,0.0,0.0,0.0,,0.0,313.0,332.7,327.7,47.0,4,32.0,19.56,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15.0,419.0,1809.0,4.0,10.0,-66.0,1.0,0.0,399.0,607.0,4661.0,40.0
26,Demaryius Thomas,DEN,WR,27,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,184.0,111.0,1619.0,14.59,11.0,341.0,343.9,285.4,108.0,3,9.0,21.31,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15.0,443.0,1785.0,399.0,607.0,4661.0,40.0,15.0,288.0,423.0,3042.0,29.0
34,Emmanuel Sanders,DEN,WR,27,16,16.0,0.0,0.0,0.0,0.0,0.0,8.0,44.0,5.5,0.0,141.0,101.0,1404.0,13.9,9.0,302.0,304.8,251.3,79.0,7,18.0,18.88,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15.0,435.0,1741.0,399.0,607.0,4661.0,40.0,15.0,298.0,466.0,3257.0,31.0
44,C.J. Anderson,DEN,RB,23,15,7.0,0.0,0.0,0.0,0.0,0.0,190.9,905.6,4.74,8.5,46.9,36.3,345.6,9.53,2.1,225.1,217.3,194.3,56.0,11,26.0,14.07,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,6.5,252.1,879.4,399.0,607.0,4661.0,40.0,15.0,362.7,560.1,4315.4,37.9
88,Julius Thomas,DEN,TE,26,13,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,76.3,52.9,601.8,11.37,14.8,201.8,166.9,142.4,31.0,7,45.0,12.62,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15.0,443.0,1785.0,399.0,607.0,4661.0,40.0,15.0,346.1,530.7,4059.2,25.2
150,Ronnie Hillman,DEN,RB,23,8,4.0,0.0,0.0,0.0,0.0,0.0,212.0,868.0,4.09,6.0,68.0,42.0,278.0,6.62,2.0,204.0,108.3,91.8,,39,,12.75,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,9.0,231.0,917.0,399.0,607.0,4661.0,40.0,15.0,357.0,539.0,4383.0,38.0
206,Wes Welker,DEN,WR,33,14,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,73.1,56.0,530.3,9.47,2.3,122.3,110.4,82.9,,88,,7.64,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15.0,443.0,1785.0,399.0,607.0,4661.0,40.0,15.0,343.0,533.9,4130.7,37.7
234,Juwan Thompson,DEN,RB,22,15,0.0,0.0,0.0,0.0,0.0,0.0,57.6,290.1,5.04,3.2,7.5,4.3,26.7,6.25,0.0,55.5,54.7,49.7,,69,,3.47,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,11.8,385.4,1494.9,399.0,607.0,4661.0,40.0,15.0,394.7,599.5,4634.3,40.0
289,Montee Ball,DEN,RB,24,5,3.0,0.0,0.0,0.0,0.0,0.0,176.0,550.4,3.13,3.2,41.6,28.8,198.4,6.89,0.0,115.2,40.4,31.9,,87,,7.2,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,11.8,267.0,1234.6,399.0,607.0,4661.0,40.0,15.0,370.2,565.4,4462.6,40.0
315,Jacob Tamme,DEN,TE,29,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,29.9,14.9,116.3,7.79,2.1,37.3,38.9,27.9,,47,,2.33,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15.0,443.0,1785.0,399.0,607.0,4661.0,40.0,15.0,384.1,577.1,4544.7,37.9
353,Virgil Green,DEN,TE,26,13,9.0,0.0,0.0,0.0,0.0,0.0,2.5,3.7,1.5,0.0,7.4,7.4,91.1,12.33,1.2,24.6,19.7,16.7,,54,,1.54,2,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,130.29,15.0,440.5,1781.3,399.0,607.0,4661.0,40.0,15.0,391.6,599.6,4569.9,38.8
