Rk,Name,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,FantPprPt,DKPt,FDPt,VBD,PosRank,OvRank,FantPprPtpg,RkTm,PF,TotalYds,Ply,Y/P,TO,FL,Pass1stD,CmpTm,PassAttTm,PassYdsTm,PassTDTm,IntTm,NY/A,Pass1stD.1,RushAttTm,RushYdsTm,RushTDTm,Y/ATm,Rush1stD,Pen,PenYds,1stPy,Sc%,TO%,EXP,RushTDTmSans,RushAttTmSans,RushYdsTmSans,CmpTmSans,PassAttTmSans,PassYdsTmSans,PassTDTmSans,IntTmSans,RecTmSans,TgtTmSans,RecYdsTmSans,RecTDTmSans
1,Aaron Rodgers,GNB,QB,31,16,16.0,341.0,520.0,4381.0,38.0,5.0,43.0,269.0,6.26,2.0,0.0,0.0,0.0,,0.0,358.0,367.1,359.1,93.0,1,12.0,22.38,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,12.0,392.0,1648.0,8.0,16.0,-120.0,0.0,1.0,349.0,536.0,4261.0,38.0
24,Eddie Lacy,GNB,RB,24,16,16.0,0.0,0.0,0.0,0.0,0.0,246.0,1139.0,4.63,9.0,55.0,42.0,427.0,10.17,4.0,273.0,280.6,251.6,110.0,6,7.0,17.06,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,5.0,189.0,778.0,349.0,536.0,4261.0,38.0,6.0,307.0,481.0,3834.0,34.0
25,Jordy Nelson,GNB,WR,29,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,151.0,98.0,1519.0,15.5,13.0,328.0,330.9,278.9,108.0,2,8.0,20.5,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14.0,435.0,1917.0,349.0,536.0,4261.0,38.0,6.0,251.0,385.0,2742.0,25.0
33,Randall Cobb,GNB,WR,24,16,16.0,0.0,0.0,0.0,0.0,0.0,11.0,37.0,3.36,0.0,127.0,91.0,1287.0,14.14,12.0,293.0,298.4,247.9,81.0,6,17.0,18.31,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14.0,424.0,1880.0,349.0,536.0,4261.0,38.0,6.0,258.0,409.0,2974.0,26.0
187,Davante Adams,GNB,WR,22,16,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,66.0,38.0,446.0,11.74,3.0,101.0,103.6,81.6,,78,,6.31,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14.0,435.0,1917.0,349.0,536.0,4261.0,38.0,6.0,311.0,470.0,3815.0,35.0
201,James Starks,GNB,RB,28,16,0.0,0.0,0.0,0.0,0.0,0.0,85.0,333.0,3.92,2.0,29.0,18.0,140.0,7.78,0.0,77.0,83.3,68.3,,57,,4.81,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,12.0,350.0,1584.0,349.0,536.0,4261.0,38.0,6.0,331.0,507.0,4121.0,38.0
216,Andrew Quarless,GNB,TE,26,16,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,46.0,29.0,323.0,11.14,3.0,83.0,82.3,64.8,,22,,5.19,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14.0,435.0,1917.0,349.0,536.0,4261.0,38.0,6.0,320.0,490.0,3938.0,35.0
262,Richard Rodgers,GNB,TE,22,16,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,30.0,20.0,225.0,11.25,2.0,55.0,57.5,44.5,,34,,3.44,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14.0,435.0,1917.0,349.0,536.0,4261.0,38.0,6.0,329.0,506.0,4036.0,36.0
335,John Kuhn,GNB,RB,32,16,2.0,0.0,0.0,0.0,0.0,0.0,24.0,85.0,3.54,1.0,4.0,4.0,23.0,5.75,0.0,21.0,20.8,18.8,,100,,1.31,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,13.0,411.0,1832.0,349.0,536.0,4261.0,38.0,6.0,345.0,532.0,4238.0,38.0
411,DuJuan Harris,GNB,RB,26,15,0.0,0.0,0.0,0.0,0.0,0.0,17.1,68.3,4.0,0.0,2.1,1.1,11.7,11.0,0.0,9.6,8.5,8.0,,126,,0.6,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14.0,417.9,1848.7,349.0,536.0,4261.0,38.0,6.0,347.9,533.9,4249.3,38.0
426,Brandon Bostick,GNB,TE,25,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.9,2.5,3.7,1.5,1.2,9.8,8.3,7.3,,72,,0.62,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14.0,435.0,1917.0,349.0,536.0,4261.0,38.0,6.0,346.5,531.1,4257.3,36.8
479,Jarrett Boykin,GNB,WR,25,13,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,14.8,3.7,28.3,7.67,0.0,6.2,5.3,3.8,,186,,0.38,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14.0,435.0,1917.0,349.0,536.0,4261.0,38.0,6.0,345.3,521.2,4232.7,38.0
486,Jeff Janis,GNB,WR,23,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,10.7,10.7,85.3,8.0,0.0,21.3,3.6,2.6,,190,,1.33,1,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,195.16,14.0,435.0,1917.0,349.0,536.0,4261.0,38.0,6.0,338.3,525.3,4175.7,38.0
