A,PASSTD,Name,RECYDS,RUSHTD,Rank,PPRPTS,C,RUSH,RUSHYDS,PASSYDS,Position,REC,RECTD,INT,Team
0,0,Cole Beasley,487.7,0,262,113.7,0,0,0,0,WR,48.3,3,0,Dal
0,0,Pharoh Cooper,407.4,0.1,263,84.7,0,4.3,26.4,0,WR,34,1.3,0,LA
0,0,Maxx Williams,318.9,0,264,81.1,0,0,0,0,TE,34.4,2.6,0,Bal
0,0,Richard Rodgers,227.5,0,265,59.5,0,0,0,0,TE,22.6,2.5,0,GB
493.5,19.9,Alex Smith,0,2.4,266,259.5,320.5,69.3,397.9,3601.3,QB,0,0,7.5,KC
487.6,13.5,Jared Goff,0,1.6,267,168.8,288.2,39,112.7,3235.6,QB,0,0,14.5,LA
139.5,4.8,Colin Kaepernick,0,0.6,268,63.6,80.1,24.9,139.4,924,QB,0,0,2.9,SF
447.2,16.7,Sam Bradford,0,1,269,174.8,278.8,23.3,60.5,3093.5,QB,0,0,10.1,Phi
384.3,15.3,Robert Griffin,0,1.5,270,190.5,244.3,59.5,356.3,2898.9,QB,0,0,9.6,Cle
0,0,Marqise Lee,178.8,0.2,271,46.2,0,7.4,47.1,0,WR,16,1.4,0,Jax
0,0,Seth Roberts,401.6,0,272,94.1,0,0,0,0,WR,34.4,3.3,0,Oak
0,0,Bruce Ellington,483.1,0,273,111.2,0,0,0,0,WR,46.1,2.5,0,SF
0,0,Eddie Royal,365,0.1,274,84.7,0,2.2,13.9,0,WR,34.3,2.2,0,Chi
0,0,TJ Jones,380.5,0,275,76.8,0,0,0,0,WR,27.7,1.8,0,Det
0,0,Branden Oliver,33.5,0.7,276,26.6,0,38.3,149.4,0,RB,4.6,0.1,0,SD
0,0,James White,65.6,0.5,277,24.6,0,16,56.1,0,RB,8.8,0.3,0,NE
0,0,Mike Gillislee,27.3,1,278,24.2,0,32.5,128,0,RB,3.8,0.1,0,Buf
0,0,Christine Michael,13.3,0.5,279,15.2,0,22.8,96.1,0,RB,1.8,0.1,0,Sea
0,0,Denard Robinson,14.5,0.2,280,6.0,0,7.4,29.3,0,RB,1.9,0.1,0,Jax
0,0,Lance Dunbar,18.7,0.1,281,5.5,0,2.9,11.4,0,RB,2.5,0.1,0,Dal
0,0,Daniel Lasco,18.2,0.4,282,10.1,0,11.8,44.7,0,RB,2.5,0.1,0,NO
0,0,Fitzgerald Toussaint,58.6,0.7,283,28.5,0,25.3,100.9,0,RB,8,0.3,0,Pit
0,0,Kelvin Taylor,60.7,0.3,284,24.0,0,20.4,77.5,0,RB,8.2,0.2,0,SF
0,0,Ravens D/ST,0,0,285,103.6,0,0,0,0,D/ST,0,0,0,/S
0,0,Steelers D/ST,0,0,286,87.3,0,0,0,0,D/ST,0,0,0,/S
0,0,Matt Bryant,0,0,287,122.3,0,0,0,0,K,0,0,0,Atl
0,0,Nick Novak,0,0,288,121.8,0,0,0,0,K,0,0,0,Hou
0,0,Jace Amaro,326.1,0,289,82.3,0,0,0,0,TE,32.6,3,0,NYJ
0,0,Jeff Heuerman,356.7,0,290,82.8,0,0,0,0,TE,32.7,2.5,0,Den
0,0,Lance Kendricks,435.9,0,291,98.3,0,0,0,0,TE,41.6,2.3,0,LA
0,0,Jacob Tamme,469,0,292,107.5,0,0,0,0,TE,45.9,2.6,0,Atl
