Name,Position,Rank,Team,RUSH,RUSHYDS,RUSHTD,REC,RECYDS,RECTD,C,A,PASSYDS,PASSTD,INT,PTS,FLOOR,CEILING,INJURY
Luke McCown,QB,313,NO,0.1,0.5,0,0,0,0,1.9,3.1,20.5,0.1,0.1,0.3,FLOOR,CEILING,INJURY
Jerricho Cotchery,WR,314,Car,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Josh Scobee,K,315,NO,0,0,0,0,0,0,0,0,0,0,0,123,FLOOR,CEILING,INJURY
Wes Welker,WR,316,LA,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Roddy White,WR,317,Atl,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Mike Nugent,K,318,Cin,0,0,0,0,0,0,0,0,0,0,0,117.7,FLOOR,CEILING,INJURY
Alex Smith,TE,319,Wsh,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Dan Orlovsky,QB,320,Det,0.1,0.5,0,0,0,0,1.9,3.1,20.7,0.1,0.1,0.2,FLOOR,CEILING,INJURY
Derek Anderson,QB,321,Car,0.1,0.4,0,0,0,0,1.6,2.7,17,0.1,0.1,0.4,FLOOR,CEILING,INJURY
Matt Cassel,QB,322,Ten,0.9,3.5,0,0,0,0,9.3,15.5,104.2,0.6,0.6,5.1,FLOOR,CEILING,INJURY
Joshua Cribbs,WR,323,Ind,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Nate Washington,WR,324,NE,0,0,0,0,0,0,0,0,0,0,0,0,FLOOR,CEILING,INJURY
Shaun Suisham,K,325,Pit,0,0,0,0,0,0,0,0,0,0,0,0,FLOOR,CEILING,INJURY
Lance Moore,WR,326,Det,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
John Kuhn,RB,327,GB,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Reggie Bush,RB,328,Buf,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Vernon Davis,TE,329,Wsh,0,0,0,7.6,83,0.7,0,0,0,0,0,12.3,FLOOR,CEILING,INJURY
Marcedes Lewis,TE,330,Jax,0,0,0,15.7,192.1,1.9,0,0,0,0,0,30.5,FLOOR,CEILING,INJURY
Kellen Clemens,QB,331,SD,0,0,0,0,0,0,0,0,0,0,0,0,FLOOR,CEILING,INJURY
Greg Jennings,WR,332,Mia,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Anthony Fasano,TE,333,Ten,0,0,0,12.6,138,1.3,0,0,0,0,0,20.8,FLOOR,CEILING,INJURY
Devin Hester,WR,334,Atl,0,0,0,0,0,0,0,0,0,0,0,4.7,FLOOR,CEILING,INJURY
Tarvaris Jackson,QB,335,Sea,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
