Name,Position,Rank,Team,RUSH,RUSHYDS,RUSHTD,REC,RECYDS,RECTD,C,A,PASSYDS,PASSTD,INT,PTS,FLOOR,CEILING,INJURY
Carlos Hyde,RB,33,SF,263,1054,6.9,37.4,267.4,1,0,0,0,0,0,176.6,FLOOR,CEILING,INJURY
Matt Forte,RB,34,NYJ,220.6,923.4,5.1,47.6,394.2,1.5,0,0,0,0,0,168.8,FLOOR,CEILING,INJURY
Cam Newton,QB,35,Car,125.6,682.3,5.7,0,0,0,303.8,524.9,3781,28.1,13.2,335.3,FLOOR,CEILING,INJURY
T.Y. Hilton,WR,36,Ind,1.9,11.8,0,73.4,1166.4,6.9,0,0,0,0,0,158.3,FLOOR,CEILING,INJURY
Kelvin Benjamin,WR,37,Car,0,0,0,66.7,896.8,8.5,0,0,0,0,0,139.9,FLOOR,CEILING,INJURY
Julian Edelman,WR,38,NE,8,49.6,0.2,94.4,1009.9,7.4,0,0,0,0,0,150.2,FLOOR,CEILING,INJURY
Doug Baldwin,WR,39,Sea,0,0,0,75.4,1006.2,7.2,0,0,0,0,0,143,FLOOR,CEILING,INJURY
C.J. Anderson,RB,40,Den,240.5,1129.8,6.7,29.6,238.3,0.9,0,0,0,0,0,178.9,FLOOR,CEILING,INJURY
Dion Lewis,RB,41,NE,95.8,413.6,2.7,65.6,582.2,2.5,0,0,0,0,0,127,FLOOR,CEILING,INJURY
Jarvis Landry,WR,42,Mia,15.2,82.6,0.3,102.1,1011,5.5,0,0,0,0,0,144.3,FLOOR,CEILING,INJURY
Jeremy Maclin,WR,43,KC,3.9,24.7,0.2,81.9,1097.1,5.2,0,0,0,0,0,142.3,FLOOR,CEILING,INJURY
Randall Cobb,WR,44,GB,16,108,0.3,79.2,940.1,6.9,0,0,0,0,0,148,FLOOR,CEILING,INJURY
Eric Decker,WR,45,NYJ,0,0,0,85.6,1121,8.2,0,0,0,0,0,161.1,FLOOR,CEILING,INJURY
Golden Tate,WR,46,Det,7.2,45.8,0.2,89.3,1059.2,5.5,0,0,0,0,0,143.8,FLOOR,CEILING,INJURY
Emmanuel Sanders,WR,47,Den,4.4,27.7,0.1,75.1,1045.7,4.4,0,0,0,0,0,133.6,FLOOR,CEILING,INJURY
Greg Olsen,TE,48,Car,0,0,0,75.3,957.3,6.4,0,0,0,0,0,133.3,FLOOR,CEILING,INJURY
Aaron Rodgers,QB,49,GB,51.2,238.3,1.5,0,0,0,354.7,562.7,4235.7,32.6,7.7,311.6,FLOOR,CEILING,INJURY
Russell Wilson,QB,50,Sea,95.6,494.7,2.4,0,0,0,297.6,475.6,3689.2,29.3,10.1,302.1,FLOOR,CEILING,INJURY
Michael Floyd,WR,51,Ari,0,0,0,59.8,941.6,6.8,0,0,0,0,0,134.8,FLOOR,CEILING,INJURY
DeVante Parker,WR,52,Mia,0,0,0,64.9,945.3,5.7,0,0,0,0,0,127.9,FLOOR,CEILING,INJURY
Larry Fitzgerald,WR,53,Ari,0,0,0,82.8,949.3,7,0,0,0,0,0,135.3,FLOOR,CEILING,INJURY
Donte Moncrief,WR,54,Ind,0,0,0,72.6,904.9,7.5,0,0,0,0,0,134.3,FLOOR,CEILING,INJURY
Jeremy Hill,RB,55,Cin,211,875.3,6.9,19.7,147.5,0.8,0,0,0,0,0,143.3,FLOOR,CEILING,INJURY
Latavius Murray,RB,56,Oak,205.8,865.6,5,30.7,219.3,1.5,0,0,0,0,0,143,FLOOR,CEILING,INJURY
Ryan Mathews,RB,57,Phi,204.2,934.5,5.8,25.4,186.5,0.5,0,0,0,0,0,144.2,FLOOR,CEILING,INJURY
Jeremy Langford,RB,58,Chi,184.9,738.6,5.4,36.4,324.2,1.2,0,0,0,0,0,142.1,FLOOR,CEILING,INJURY
DeMarco Murray,RB,59,Ten,200.7,886.3,7.3,26.6,200.5,0.6,0,0,0,0,0,153.1,FLOOR,CEILING,INJURY
Delanie Walker,TE,60,Ten,0,0,0,70.6,860.4,5.2,0,0,0,0,0,117.4,FLOOR,CEILING,INJURY
Andrew Luck,QB,61,Ind,64.8,265,1.6,0,0,0,351.3,606.6,4207.3,32.6,18.8,291.7,FLOOR,CEILING,INJURY
Matt Jones,RB,62,Wsh,240,942.2,5.8,34.4,335.2,1.4,0,0,0,0,0,161.4,FLOOR,CEILING,INJURY
Justin Forsett,RB,63,Bal,198.6,956.1,4,30.6,205.6,0.8,0,0,0,0,0,143.7,FLOOR,CEILING,INJURY
T.J. Yeldon,RB,64,Jax,158.8,659.6,3.5,35.2,273,1.5,0,0,0,0,0,119.3,FLOOR,CEILING,INJURY
DeAngelo Williams,RB,65,Pit,129.7,597.7,3.1,16.1,116.1,0.5,0,0,0,0,0,90.2,FLOOR,CEILING,INJURY
Melvin Gordon,RB,66,SD,237.7,913.7,3.8,28.4,188.1,1,0,0,0,0,0,129.7,FLOOR,CEILING,INJURY
Duke Johnson Jr.,RB,67,Cle,160.2,634,3.8,52.2,416.3,1.6,0,0,0,0,0,134.8,FLOOR,CEILING,INJURY
Drew Brees,QB,68,NO,21.7,35.2,0.9,0,0,0,438.9,655.5,4767.2,31.4,15.5,290.5,FLOOR,CEILING,INJURY
Ben Roethlisberger,QB,69,Pit,27.7,66.5,0.7,0,0,0,376.2,574.9,4569.7,28.9,13,283.8,FLOOR,CEILING,INJURY
John Brown,WR,70,Ari,4.3,26.6,0.1,63.6,959.6,6,0,0,0,0,0,133.7,FLOOR,CEILING,INJURY
Jordan Matthews,WR,71,Phi,0,0,0,80.9,973,6,0,0,0,0,0,131.9,FLOOR,CEILING,INJURY
DeSean Jackson,WR,72,Wsh,0,0,0,54.6,965.3,4.3,0,0,0,0,0,122.2,FLOOR,CEILING,INJURY
Danny Woodhead,RB,73,SD,95.8,362.9,2.2,74.1,654.1,4,0,0,0,0,0,138.4,FLOOR,CEILING,INJURY
Frank Gore,RB,74,Ind,228.6,924.3,5.5,32.1,272.7,1.4,0,0,0,0,0,157.8,FLOOR,CEILING,INJURY
Rashad Jennings,RB,75,NYG,202.5,858.6,5,32,254,1,0,0,0,0,0,144.5,FLOOR,CEILING,INJURY
Giovani Bernard,RB,76,Cin,144.8,622.5,4,51.4,424.7,1.4,0,0,0,0,0,134.9,FLOOR,CEILING,INJURY
Ameer Abdullah,RB,77,Det,186.2,792.8,4.6,36.2,288.4,1.2,0,0,0,0,0,137.3,FLOOR,CEILING,INJURY
Carson Palmer,QB,78,Ari,24.9,49.2,1,0,0,0,339.6,557.5,4253.5,29.5,16,261.1,FLOOR,CEILING,INJURY
Tom Brady,QB,79,NE,27.8,21.9,1.5,0,0,0,298.4,470.8,3324.7,25.5,6.9,229.2,FLOOR,CEILING,INJURY
Allen Hurns,WR,80,Jax,0,0,0,58,800.1,5.7,0,0,0,0,0,113.3,FLOOR,CEILING,INJURY
Michael Crabtree,WR,81,Oak,3.7,23.1,0.1,77,873.8,7.4,0,0,0,0,0,133.8,FLOOR,CEILING,INJURY
Tyler Lockett,WR,82,Sea,4.6,28.4,0.1,51.2,728,5.2,0,0,0,0,0,111,FLOOR,CEILING,INJURY
Josh Gordon,WR,83,Cle,0,0,0,47.6,744,3.8,0,0,0,0,0,96.8,FLOOR,CEILING,INJURY
Marvin Jones,WR,84,Det,0,0,0,71.9,984.2,5.7,0,0,0,0,0,131.9,FLOOR,CEILING,INJURY
Kevin White,WR,85,Chi,0,0,0,64.6,935.4,5.6,0,0,0,0,0,126.5,FLOOR,CEILING,INJURY
Stefon Diggs,WR,86,Min,4.4,27.8,0.1,56.9,703.8,3.9,0,0,0,0,0,95.3,FLOOR,CEILING,INJURY
Sterling Shepard,WR,87,NYG,0,0,0,71.7,895.5,5.2,0,0,0,0,0,120.7,FLOOR,CEILING,INJURY
Eli Manning,QB,88,NYG,20.8,37.7,0.4,0,0,0,382.6,610.2,4575.8,30.7,15.6,273.1,FLOOR,CEILING,INJURY
Blake Bortles,QB,89,Jax,50.7,262.4,1.1,0,0,0,322.5,568.8,3817,28.5,15.9,257.2,FLOOR,CEILING,INJURY
Philip Rivers,QB,90,SD,22.9,61.2,0.4,0,0,0,406.8,618.6,4498.1,28.1,15.3,266.1,FLOOR,CEILING,INJURY
Tyler Eifert,TE,91,Cin,0,0,0,60.3,688.5,5.8,0,0,0,0,0,102.8,FLOOR,CEILING,INJURY
Travis Kelce,TE,92,KC,0,0,0,79.4,865.2,5.2,0,0,0,0,0,115.2,FLOOR,CEILING,INJURY
Coby Fleener,TE,93,NO,0,0,0,74,851,7.1,0,0,0,0,0,127.9,FLOOR,CEILING,INJURY
Chris Ivory,RB,94,Jax,167.7,738.9,4.5,20,141.7,0.8,0,0,0,0,0,116.6,FLOOR,CEILING,INJURY
Jay Ajayi,RB,95,Mia,125.3,481.2,4,13,96.2,0.4,0,0,0,0,0,82.1,FLOOR,CEILING,INJURY
Torrey Smith,WR,96,SF,0,0,0,52.8,903.2,4.2,0,0,0,0,0,115.4,FLOOR,CEILING,INJURY
Willie Snead,WR,97,NO,0,0,0,68.1,866.1,4.4,0,0,0,0,0,111.8,FLOOR,CEILING,INJURY
Dorial Green-Beckham,WR,98,Ten,0,0,0,39.2,572.5,3.8,0,0,0,0,0,79.5,FLOOR,CEILING,INJURY
Laquon Treadwell,WR,99,Min,0,0,0,62.4,847,4.4,0,0,0,0,0,110.3,FLOOR,CEILING,INJURY
Vincent Jackson,WR,100,TB,0,0,0,51.5,775.8,5.4,0,0,0,0,0,109.2,FLOOR,CEILING,INJURY
Derrick Henry,RB,101,Ten,158,688.5,6.6,18,146.7,0.6,0,0,0,0,0,122.5,FLOOR,CEILING,INJURY
LeGarrette Blount,RB,102,NE,207.6,914.4,6.4,4.4,32.8,0.2,0,0,0,0,0,131.4,FLOOR,CEILING,INJURY
Arian Foster,RB,103,Mia,163.2,700.1,4.4,34.3,280.2,1.4,0,0,0,0,0,129.6,FLOOR,CEILING,INJURY
Theo Riddick,RB,104,Det,64.4,240.1,1.9,71.5,627.5,3.1,0,0,0,0,0,115,FLOOR,CEILING,INJURY
Tevin Coleman,RB,105,Atl,117,496.9,3.6,23.3,170.1,0.6,0,0,0,0,0,88.9,FLOOR,CEILING,INJURY
Charles Sims,RB,106,TB,106.2,438.3,2.8,54.8,455.5,2,0,0,0,0,0,114.4,FLOOR,CEILING,INJURY
Jordan Howard,RB,107,Chi,125.6,505.8,4.3,7.9,59,0.2,0,0,0,0,0,80.6,FLOOR,CEILING,INJURY
Bilal Powell,RB,108,NYJ,102.1,409,1.7,36.2,283.8,1.1,0,0,0,0,0,82.9,FLOOR,CEILING,INJURY
Gary Barnidge,TE,109,Cle,0,0,0,63.9,813.6,5.7,0,0,0,0,0,114.6,FLOOR,CEILING,INJURY
Ladarius Green,TE,110,Pit,0,0,0,58.8,743.5,5.5,0,0,0,0,0,108,FLOOR,CEILING,INJURY
Zach Ertz,TE,111,Phi,0,0,0,72.4,850.6,5.6,0,0,0,0,0,118.2,FLOOR,CEILING,INJURY
Corey Coleman,WR,112,Cle,3.9,24.8,0.1,66.7,818.3,4.2,0,0,0,0,0,109.1,FLOOR,CEILING,INJURY
Travis Benjamin,WR,113,SD,0,0,0,52.5,780.5,4.2,0,0,0,0,0,105.9,FLOOR,CEILING,INJURY
Michael Thomas,WR,114,NO,0,0,0,58.7,776.6,6.1,0,0,0,0,0,113.1,FLOOR,CEILING,INJURY
Tavon Austin,WR,115,LA,29.8,173,1.1,66,652.9,2.5,0,0,0,0,0,105.9,FLOOR,CEILING,INJURY
Markus Wheaton,WR,116,Pit,3.9,25,0.1,53.3,721.9,4.3,0,0,0,0,0,101.5,FLOOR,CEILING,INJURY
Will Fuller,WR,117,Hou,4.4,28,0.1,43.3,654.5,3.9,0,0,0,0,0,90.5,FLOOR,CEILING,INJURY
Steve Smith Sr.,WR,118,Bal,0,0,0,58.2,816.3,4.1,0,0,0,0,0,105.2,FLOOR,CEILING,INJURY
Breshad Perriman,WR,119,Bal,0,0,0,40.7,587.5,3.8,0,0,0,0,0,80.7,FLOOR,CEILING,INJURY
Mike Wallace,WR,120,Bal,2.1,13.2,0.1,37.5,491.3,3.5,0,0,0,0,0,70.7,FLOOR,CEILING,INJURY
Phillip Dorsett,WR,121,Ind,7.5,47.1,0.2,48.2,630.1,4.9,0,0,0,0,0,97.4,FLOOR,CEILING,INJURY
Josh Doctson,WR,122,Wsh,0,0,0,40.9,556.9,4.2,0,0,0,0,0,79.8,FLOOR,CEILING,INJURY
Charcandrick West,RB,123,KC,63.1,252.5,2.9,10.9,80.8,0.3,0,0,0,0,0,51.8,FLOOR,CEILING,INJURY
Isaiah Crowell,RB,124,Cle,181.8,741.9,4.7,15.2,116.8,0.5,0,0,0,0,0,115.8,FLOOR,CEILING,INJURY
Devontae Booker,RB,125,Den,96.2,408.4,3.1,14.8,109.7,0.4,0,0,0,0,0,69.5,FLOOR,CEILING,INJURY
C.J. Prosise,RB,126,Sea,91.2,386.2,2.3,33.1,274.3,1.3,0,0,0,0,0,85,FLOOR,CEILING,INJURY
Nelson Agholor,WR,127,Phi,0,0,0,49.9,614.4,3.7,0,0,0,0,0,82.7,FLOOR,CEILING,INJURY
Mohamed Sanu,WR,128,Atl,5.9,36.6,0.2,57.3,678.8,3.9,0,0,0,0,0,94.6,FLOOR,CEILING,INJURY
James Starks,RB,129,GB,116,506.3,2.1,20.8,159.6,0.8,0,0,0,0,0,80,FLOOR,CEILING,INJURY
Darren Sproles,RB,130,Phi,57.9,289.6,1.9,48.3,399.1,1.3,0,0,0,0,0,89.6,FLOOR,CEILING,INJURY
Tyrod Taylor,QB,131,Buf,111.9,576.6,4.2,0,0,0,275.6,452.5,3262.3,21.4,12.1,265.8,FLOOR,CEILING,INJURY
Tony Romo,QB,132,Dal,26,56,0.6,0,0,0,326.1,486.6,3846.8,27.2,11.4,245.2,FLOOR,CEILING,INJURY
Kirk Cousins,QB,133,Wsh,38.6,82.6,1.4,0,0,0,384,592.5,4500.4,29,13.3,276.3,FLOOR,CEILING,INJURY
Derek Carr,QB,134,Oak,30.5,81.4,0.7,0,0,0,354.8,593.6,3843.7,30.8,13.6,253.3,FLOOR,CEILING,INJURY
Kenneth Dixon,RB,135,Bal,82.7,353.2,2.2,25.9,222.4,0.9,0,0,0,0,0,74.1,FLOOR,CEILING,INJURY
Julius Thomas,TE,136,Jax,0,0,0,61.8,666.6,5.8,0,0,0,0,0,100.8,FLOOR,CEILING,INJURY
Antonio Gates,TE,137,SD,0,0,0,60.9,707.8,5.9,0,0,0,0,0,105.8,FLOOR,CEILING,INJURY
Zach Miller,TE,138,Chi,0,0,0,60.7,657,4.5,0,0,0,0,0,91.9,FLOOR,CEILING,INJURY
Martellus Bennett,TE,139,NE,0,0,0,52.3,516.1,4.4,0,0,0,0,0,76.6,FLOOR,CEILING,INJURY
Austin Seferian-Jenkins,TE,140,TB,0,0,0,40.7,500.1,4.2,0,0,0,0,0,75.2,FLOOR,CEILING,INJURY
Seahawks D/ST,D/ST,141,/S,0,0,0,0,0,0,0,0,0,0,0,116.3,FLOOR,CEILING,INJURY
Panthers D/ST,D/ST,142,/S,0,0,0,0,0,0,0,0,0,0,0,124,FLOOR,CEILING,INJURY
Bengals D/ST,D/ST,143,/S,0,0,0,0,0,0,0,0,0,0,0,122.8,FLOOR,CEILING,INJURY
Texans D/ST,D/ST,144,/S,0,0,0,0,0,0,0,0,0,0,0,115.2,FLOOR,CEILING,INJURY
Chiefs D/ST,D/ST,145,/S,0,0,0,0,0,0,0,0,0,0,0,115.9,FLOOR,CEILING,INJURY
Broncos D/ST,D/ST,146,/S,0,0,0,0,0,0,0,0,0,0,0,110.3,FLOOR,CEILING,INJURY
Cardinals D/ST,D/ST,147,/S,0,0,0,0,0,0,0,0,0,0,0,121.9,FLOOR,CEILING,INJURY
Stephen Gostkowski,K,148,NE,0,0,0,0,0,0,0,0,0,0,0,146.7,FLOOR,CEILING,INJURY
Jets D/ST,D/ST,149,/S,0,0,0,0,0,0,0,0,0,0,0,116.6,FLOOR,CEILING,INJURY
Packers D/ST,D/ST,150,/S,0,0,0,0,0,0,0,0,0,0,0,121.3,FLOOR,CEILING,INJURY
Raiders D/ST,D/ST,151,/S,0,0,0,0,0,0,0,0,0,0,0,111.5,FLOOR,CEILING,INJURY
Steven Hauschka,K,152,Sea,0,0,0,0,0,0,0,0,0,0,0,140.4,FLOOR,CEILING,INJURY
Dan Bailey,K,153,Dal,0,0,0,0,0,0,0,0,0,0,0,136.2,FLOOR,CEILING,INJURY
Justin Tucker,K,154,Bal,0,0,0,0,0,0,0,0,0,0,0,132.1,FLOOR,CEILING,INJURY
Adam Vinatieri,K,155,Ind,0,0,0,0,0,0,0,0,0,0,0,145.1,FLOOR,CEILING,INJURY
Mason Crosby,K,156,GB,0,0,0,0,0,0,0,0,0,0,0,132.3,FLOOR,CEILING,INJURY
Josh Brown,K,157,NYG,0,0,0,0,0,0,0,0,0,0,0,135.8,FLOOR,CEILING,INJURY
Graham Gano,K,158,Car,0,0,0,0,0,0,0,0,0,0,0,131.1,FLOOR,CEILING,INJURY
Blair Walsh,K,159,Min,0,0,0,0,0,0,0,0,0,0,0,135.7,FLOOR,CEILING,INJURY
Chandler Catanzaro,K,160,Ari,0,0,0,0,0,0,0,0,0,0,0,125.6,FLOOR,CEILING,INJURY
Jerick McKinnon,RB,161,Min,87.5,395.5,2.6,35.5,269.7,1,0,0,0,0,0,85.1,FLOOR,CEILING,INJURY
Paul Perkins,RB,162,NYG,105.3,455,2.6,4.4,33.4,0.2,0,0,0,0,0,63.4,FLOOR,CEILING,INJURY
Tyler Ervin,RB,163,Hou,88.4,365,2.2,20,166.5,0.7,0,0,0,0,0,70.3,FLOOR,CEILING,INJURY
Kenyan Drake,RB,164,Mia,45.6,179.6,0.8,25.7,222.1,1,0,0,0,0,0,49.3,FLOOR,CEILING,INJURY
Tyler Boyd,WR,165,Cin,8.3,52.2,0.2,40,489.4,3.1,0,0,0,0,0,74.3,FLOOR,CEILING,INJURY
Pierre Garcon,WR,166,Wsh,0,0,0,59.9,707.3,4.6,0,0,0,0,0,97.5,FLOOR,CEILING,INJURY
Kendall Wright,WR,167,Ten,4.3,27.1,0.1,46.9,572.9,2.2,0,0,0,0,0,72.6,FLOOR,CEILING,INJURY
Anquan Boldin,WR,168,Det,0,0,0,44,580,3,0,0,0,0,0,76,FLOOR,CEILING,INJURY
Marcus Mariota,QB,169,Ten,69.4,417.7,1.9,0,0,0,304.6,488,3552.7,18.9,13.5,231.4,FLOOR,CEILING,INJURY
Matthew Stafford,QB,170,Det,39.1,134.5,1.7,0,0,0,399.8,616,4468.1,25.2,13.5,272.3,FLOOR,CEILING,INJURY
Andy Dalton,QB,171,Cin,62.2,230.3,2.7,0,0,0,336.9,533.8,3931.7,25.7,13.5,268.5,FLOOR,CEILING,INJURY
Keith Marshall,RB,172,Wsh,77.4,340,2.1,4.3,32.2,0.1,0,0,0,0,0,49.1,FLOOR,CEILING,INJURY
DeAndre Washington,RB,173,Oak,95.1,390.4,1.8,18.6,155,0.8,0,0,0,0,0,67.9,FLOOR,CEILING,INJURY
Jimmy Graham,TE,174,Sea,0,0,0,51.5,629.1,6.9,0,0,0,0,0,103.3,FLOOR,CEILING,INJURY
Eric Ebron,TE,175,Det,0,0,0,57.2,633.4,4.7,0,0,0,0,0,90.8,FLOOR,CEILING,INJURY
Shane Vereen,RB,176,NYG,60.8,262.1,1.6,50.7,449.6,2.8,0,0,0,0,0,96.1,FLOOR,CEILING,INJURY
Wendell Smallwood,RB,177,Phi,71.7,291.8,2.4,12.5,93.3,0.4,0,0,0,0,0,53.7,FLOOR,CEILING,INJURY
Spencer Ware,RB,178,KC,67.1,306.9,3.5,3.6,26.9,0.1,0,0,0,0,0,52.9,FLOOR,CEILING,INJURY
Terrance Williams,WR,179,Dal,0,0,0,41.7,692.1,4.9,0,0,0,0,0,98.9,FLOOR,CEILING,INJURY
Victor Cruz,WR,180,NYG,0,0,0,40,558.5,3.3,0,0,0,0,0,74.5,FLOOR,CEILING,INJURY
Devin Funchess,WR,181,Car,4.8,29.9,0.1,46.2,634.1,5.4,0,0,0,0,0,98,FLOOR,CEILING,INJURY
Sammie Coates,WR,182,Pit,0,0,0,45.2,581.3,4.1,0,0,0,0,0,83,FLOOR,CEILING,INJURY
Leonte Carroo,WR,183,Mia,0,0,0,29.1,412,2.2,0,0,0,0,0,54.3,FLOOR,CEILING,INJURY
Shaun Draughn,RB,184,SF,85.5,322.4,1.9,33.3,245.5,0.8,0,0,0,0,0,71.4,FLOOR,CEILING,INJURY
Ted Ginn Jr.,WR,185,Car,4.8,29.9,0.1,28.5,424.8,2.6,0,0,0,0,0,62.7,FLOOR,CEILING,INJURY
Chris Hogan,WR,186,NE,2,12.4,0.1,52.2,594.2,5.1,0,0,0,0,0,90.5,FLOOR,CEILING,INJURY
Rishard Matthews,WR,187,Ten,0,0,0,51.2,642.3,3.1,0,0,0,0,0,82.3,FLOOR,CEILING,INJURY
Jason Witten,TE,188,Dal,0,0,0,71.6,756.4,5.4,0,0,0,0,0,107.3,FLOOR,CEILING,INJURY
Patriots D/ST,D/ST,189,/S,0,0,0,0,0,0,0,0,0,0,0,89.2,FLOOR,CEILING,INJURY
Vikings D/ST,D/ST,190,/S,0,0,0,0,0,0,0,0,0,0,0,95.6,FLOOR,CEILING,INJURY
Matt Prater,K,191,Det,0,0,0,0,0,0,0,0,0,0,0,125.2,FLOOR,CEILING,INJURY
Roberto Aguayo,K,192,TB,0,0,0,0,0,0,0,0,0,0,0,140.9,FLOOR,CEILING,INJURY
Jameis Winston,QB,193,TB,59.3,259,2.8,0,0,0,313.4,544.8,3799.5,26,15.4,262.1,FLOOR,CEILING,INJURY
Ryan Fitzpatrick,QB,194,NYJ,53.3,233.2,1.7,0,0,0,310.6,511.9,3609.4,23.4,14.3,239,FLOOR,CEILING,INJURY
Ryan Tannehill,QB,195,Mia,35.8,135.8,1,0,0,0,361.4,585.4,4114.9,23.6,11.9,246.1,FLOOR,CEILING,INJURY
Stevie Johnson,WR,196,SD,0,0,0,42.2,509.2,3.1,0,0,0,0,0,68.6,FLOOR,CEILING,INJURY
Jordan Cameron,TE,197,Mia,0,0,0,47.2,569.6,4.1,0,0,0,0,0,80.5,FLOOR,CEILING,INJURY
Jermaine Kearse,WR,198,Sea,0,0,0,36.3,537.3,4.6,0,0,0,0,0,80.7,FLOOR,CEILING,INJURY
Tim Hightower,RB,199,NO,82.7,329.3,3.1,10,73,0.3,0,0,0,0,0,58.6,FLOOR,CEILING,INJURY
Andre Ellington,RB,200,Ari,43.1,177.5,1.2,16.3,140.8,0.7,0,0,0,0,0,41.4,FLOOR,CEILING,INJURY
Chris Johnson,RB,201,Ari,90.4,369.3,1.9,2.1,15.1,0.1,0,0,0,0,0,48.1,FLOOR,CEILING,INJURY
Alfred Morris,RB,202,Dal,68.7,288.1,1.6,4,29.8,0.1,0,0,0,0,0,40.2,FLOOR,CEILING,INJURY
Darren McFadden,RB,203,Dal,84.2,348.5,2.2,13.7,108.6,0.4,0,0,0,0,0,58.9,FLOOR,CEILING,INJURY
Karlos Williams,RB,204,Buf,76.6,355.6,2.7,7.4,54.3,0.2,0,0,0,0,0,55.9,FLOOR,CEILING,INJURY
Javorius Allen,RB,205,Bal,86.9,351.7,2.7,17.2,134.7,0.5,0,0,0,0,0,66.2,FLOOR,CEILING,INJURY
C.J. Spiller,RB,206,NO,31.5,148,0.5,37,272.4,1.1,0,0,0,0,0,51.4,FLOOR,CEILING,INJURY
Cameron Artis-Payne,RB,207,Car,57.2,232.6,1.4,7.4,55.4,0.3,0,0,0,0,0,37,FLOOR,CEILING,INJURY
Alex Collins,RB,208,Sea,41,157.4,1.3,1.8,13.3,0.1,0,0,0,0,0,23.5,FLOOR,CEILING,INJURY
Dwayne Allen,TE,209,Ind,0,0,0,49.1,539,5.4,0,0,0,0,0,85.3,FLOOR,CEILING,INJURY
Charles Clay,TE,210,Buf,0,0,0,57.5,613.2,4.3,0,0,0,0,0,86.7,FLOOR,CEILING,INJURY
Kenny Britt,WR,211,LA,0,0,0,45.7,755.9,3.5,0,0,0,0,0,95.6,FLOOR,CEILING,INJURY
Albert Wilson,WR,212,KC,3.9,24.7,0.2,40.6,503.5,2.6,0,0,0,0,0,68.4,FLOOR,CEILING,INJURY
Chris Conley,WR,213,KC,0,0,0,34.5,383.2,2.5,0,0,0,0,0,53.1,FLOOR,CEILING,INJURY
Jeff Janis,WR,214,GB,0,0,0,9.8,185.3,1.6,0,0,0,0,0,28,FLOOR,CEILING,INJURY
Ty Montgomery,WR,215,GB,8,50.8,0.2,25.3,229.6,1.8,0,0,0,0,0,39.2,FLOOR,CEILING,INJURY
Davante Adams,WR,216,GB,0,0,0,33,374.9,3.4,0,0,0,0,0,57,FLOOR,CEILING,INJURY
Kamar Aiken,WR,217,Bal,0,0,0,49.5,613.2,3.7,0,0,0,0,0,83.2,FLOOR,CEILING,INJURY
Robert Woods,WR,218,Buf,2.3,14.2,0.1,47,552.5,3.7,0,0,0,0,0,78.1,FLOOR,CEILING,INJURY
Justin Hardy,WR,219,Atl,0,0,0,42.7,406,2.4,0,0,0,0,0,54.4,FLOOR,CEILING,INJURY
Jaelen Strong,WR,220,Hou,0,0,0,47.2,555,4.2,0,0,0,0,0,80.2,FLOOR,CEILING,INJURY
Bills D/ST,D/ST,221,/S,0,0,0,0,0,0,0,0,0,0,0,111.6,FLOOR,CEILING,INJURY
Rams D/ST,D/ST,222,/S,0,0,0,0,0,0,0,0,0,0,0,109.8,FLOOR,CEILING,INJURY
Chris Boswell,K,223,Pit,0,0,0,0,0,0,0,0,0,0,0,138.3,FLOOR,CEILING,INJURY
Cairo Santos,K,224,KC,0,0,0,0,0,0,0,0,0,0,0,123.6,FLOOR,CEILING,INJURY
Matt Ryan,QB,225,Atl,30.9,95.5,0.7,0,0,0,408.6,617.4,4474.2,22.1,16.6,239.3,FLOOR,CEILING,INJURY
Brock Osweiler,QB,226,Hou,51,119.8,1.5,0,0,0,335.4,546,4002.6,25.1,14.4,246.7,FLOOR,CEILING,INJURY
Clive Walford,TE,227,Oak,0,0,0,47.4,523.5,5.5,0,0,0,0,0,84.7,FLOOR,CEILING,INJURY
Rueben Randle,WR,228,Phi,0,0,0,32.6,455.1,2.4,0,0,0,0,0,59.8,FLOOR,CEILING,INJURY
DeAndre Smelter,WR,229,SF,0,0,0,12.9,171.3,0.8,0,0,0,0,0,21.7,FLOOR,CEILING,INJURY
Kenny Stills,WR,230,Mia,0,0,0,24.6,365.7,1.7,0,0,0,0,0,46.2,FLOOR,CEILING,INJURY
Jamison Crowder,WR,231,Wsh,1.9,12.4,0,47.1,441.8,2.8,0,0,0,0,0,62.7,FLOOR,CEILING,INJURY
Braxton Miller,WR,232,Hou,8.8,55.9,0.2,22.1,237.5,1.2,0,0,0,0,0,36.1,FLOOR,CEILING,INJURY
Devin Smith,WR,233,NYJ,0,0,0,18,298.9,2,0,0,0,0,0,41.2,FLOOR,CEILING,INJURY
Malcolm Mitchell,WR,234,NE,0,0,0,10.4,133.7,1,0,0,0,0,0,19,FLOOR,CEILING,INJURY
Ronnie Hillman,RB,235,Den,65.6,258.3,2.1,7.4,57.3,0.2,0,0,0,0,0,43,FLOOR,CEILING,INJURY
Khiry Robinson,RB,236,NYJ,57.2,236.8,1.3,4.1,30.3,0.1,0,0,0,0,0,34.8,FLOOR,CEILING,INJURY
Tre Mason,RB,237,LA,34.1,133.2,1,6.8,53.1,0.1,0,0,0,0,0,24,FLOOR,CEILING,INJURY
Ka'Deem Carey,RB,238,Chi,87.2,361.7,2.3,11.9,88.4,0.4,0,0,0,0,0,58.9,FLOOR,CEILING,INJURY
