Rk,Name,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,FantPprPt,DKPt,FDPt,VBD,PosRank,OvRank,FantPprPtpg
1,Aaron Rodgers,GNB,QB,31,16,16.0,341.0,520.0,4381.0,38.0,5.0,43.0,269.0,6.26,2.0,0.0,0.0,0.0,,0.0,358.0,367.1,359.1,93.0,1,12.0,22.38
2,Andrew Luck,IND,QB,25,16,16.0,380.0,616.0,4761.0,40.0,16.0,64.0,273.0,4.27,3.0,0.0,0.0,0.0,,0.0,356.0,379.7,367.7,90.0,2,13.0,22.25
3,Russell Wilson,SEA,QB,26,16,16.0,285.0,452.0,3475.0,20.0,7.0,118.0,849.0,7.19,6.0,1.0,1.0,17.0,17.0,0.0,333.0,343.6,337.1,66.0,3,21.0,20.81
4,Peyton Manning,DEN,QB,38,16,16.0,395.0,597.0,4727.0,39.0,15.0,24.0,-24.0,-1.0,0.0,0.0,0.0,0.0,,0.0,313.0,332.7,327.7,47.0,4,32.0,19.56
5,Ben Roethlisberger,PIT,QB,32,16,16.0,408.0,608.0,4952.0,32.0,9.0,33.0,27.0,0.82,0.0,0.0,0.0,-6.0,,0.0,310.0,323.2,315.2,45.0,5,35.0,19.38
6,Drew Brees,NOR,QB,35,16,16.0,456.0,659.0,4952.0,33.0,17.0,27.0,68.0,2.52,1.0,1.0,1.0,1.0,1.0,0.0,306.0,327.0,320.5,39.0,6,39.0,19.12
7,DeMarco Murray,DAL,RB,26,16,16.0,0.0,0.0,0.0,0.0,0.0,392.0,1845.0,4.71,13.0,64.0,57.0,416.0,7.3,0.0,351.0,362.1,322.6,173.0,1,1.0,21.94
8,Le'Veon Bell,PIT,RB,22,16,16.0,0.0,0.0,0.0,0.0,0.0,290.0,1361.0,4.69,8.0,105.0,83.0,854.0,10.29,3.0,371.0,376.5,329.0,167.0,2,2.0,23.19
9,Matt Ryan,ATL,QB,29,16,16.0,415.0,628.0,4694.0,28.0,14.0,29.0,145.0,5.0,0.0,0.0,0.0,0.0,,0.0,284.0,306.3,298.3,19.0,7,54.0,17.75
10,Tom Brady,NWE,QB,37,16,16.0,373.0,582.0,4109.0,33.0,9.0,36.0,57.0,1.58,0.0,0.0,0.0,0.0,,0.0,280.0,293.1,287.1,14.0,8,58.0,17.5
11,Ryan Tannehill,MIA,QB,26,16,16.0,392.0,590.0,4045.0,27.0,12.0,56.0,311.0,5.55,1.0,1.0,1.0,-4.0,-4.0,0.0,280.0,299.5,291.0,13.0,9,61.0,17.5
12,Eli Manning,NYG,QB,33,16,16.0,379.0,601.0,4410.0,30.0,14.0,12.0,31.0,2.58,1.0,0.0,0.0,0.0,,0.0,270.0,290.5,283.5,4.0,10,69.0,16.88
13,Tony Romo,DAL,QB,34,15,15.0,324.3,464.0,3952.0,36.3,9.6,27.7,65.1,2.35,0.0,0.0,0.0,0.0,,0.0,283.7,281.3,275.3,1.0,11,73.0,17.73
14,Philip Rivers,SDG,QB,33,16,16.0,379.0,570.0,4286.0,31.0,18.0,37.0,102.0,2.76,0.0,0.0,0.0,0.0,,0.0,266.0,291.6,283.6,,12,75.0,16.62
15,Marshawn Lynch,SEA,RB,28,16,14.0,0.0,0.0,0.0,0.0,0.0,280.0,1306.0,4.66,13.0,48.0,37.0,367.0,9.92,4.0,302.0,310.3,283.8,144.0,3,3.0,18.88
16,Joe Flacco,BAL,QB,29,16,16.0,344.0,554.0,3986.0,27.0,12.0,39.0,70.0,1.79,2.0,0.0,0.0,0.0,,0.0,262.0,277.4,274.4,,13,,16.38
