Rk,Name,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,FantPprPt,DKPt,FDPt,VBD,PosRank,OvRank,FantPprPtpg
17,Jay Cutler,CHI,QB,31,15,15.0,394.7,598.4,4066.1,29.9,19.2,41.6,203.7,4.9,2.1,0.0,0.0,0.0,,0.0,273.1,285.6,273.6,,14,,17.07
18,Matthew Stafford,DET,QB,26,16,16.0,363.0,602.0,4257.0,22.0,12.0,43.0,93.0,2.16,2.0,0.0,0.0,0.0,,0.0,254.0,269.6,263.6,,15,,15.88
19,Antonio Brown,PIT,WR,26,16,16.0,2.0,2.0,20.0,1.0,0.0,4.0,13.0,3.25,0.0,181.0,129.0,1698.0,13.16,13.0,381.0,391.9,322.4,130.0,1,4.0,23.81
20,Colin Kaepernick,SFO,QB,27,16,16.0,289.0,478.0,3369.0,19.0,10.0,104.0,639.0,6.14,1.0,0.0,0.0,0.0,,0.0,251.0,271.7,260.7,,16,,15.69
21,Cam Newton,CAR,QB,25,14,14.0,299.4,512.0,3573.7,20.6,13.7,117.7,616.0,5.23,5.7,0.0,0.0,0.0,,0.0,284.6,272.0,261.0,,17,,17.79
22,Matt Forte,CHI,RB,29,16,16.0,0.0,0.0,0.0,0.0,0.0,266.0,1038.0,3.9,6.0,130.0,102.0,808.0,7.92,4.0,347.0,354.6,295.6,124.0,4,5.0,21.69
23,Arian Foster,HOU,RB,28,13,13.0,1.2,1.2,6.2,1.2,0.0,320.0,1533.5,4.79,9.8,72.6,46.8,402.5,8.61,6.2,337.2,281.5,254.5,115.0,5,6.0,21.08
24,Eddie Lacy,GNB,RB,24,16,16.0,0.0,0.0,0.0,0.0,0.0,246.0,1139.0,4.63,9.0,55.0,42.0,427.0,10.17,4.0,273.0,280.6,251.6,110.0,6,7.0,17.06
25,Jordy Nelson,GNB,WR,29,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,151.0,98.0,1519.0,15.5,13.0,328.0,330.9,278.9,108.0,2,8.0,20.5
26,Demaryius Thomas,DEN,WR,27,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,184.0,111.0,1619.0,14.59,11.0,341.0,343.9,285.4,108.0,3,9.0,21.31
27,Dez Bryant,DAL,WR,26,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,136.0,88.0,1320.0,15.0,16.0,316.0,319.0,272.0,106.0,4,10.0,19.75
28,Andy Dalton,CIN,QB,27,16,16.0,309.0,481.0,3398.0,19.0,17.0,60.0,169.0,2.82,4.0,1.0,1.0,18.0,18.0,1.0,226.0,250.6,242.1,,18,,14.12
29,Alex Smith,KAN,QB,30,15,15.0,323.2,494.9,3482.7,19.2,6.4,52.3,270.9,5.18,1.1,0.0,0.0,0.0,,0.0,238.9,233.0,226.0,,19,,14.93
30,Jamaal Charles,KAN,RB,28,15,15.0,0.0,0.0,0.0,0.0,0.0,219.7,1101.9,5.01,9.6,62.9,42.7,310.4,7.28,5.3,266.7,259.4,230.4,89.0,7,14.0,16.67
31,Justin Forsett,BAL,RB,29,16,14.0,0.0,0.0,0.0,0.0,0.0,235.0,1266.0,5.39,8.0,59.0,44.0,263.0,5.98,0.0,249.0,252.9,224.9,84.0,8,15.0,15.56
32,Odell Beckham,NYG,WR,22,12,11.0,0.0,1.3,0.0,0.0,0.0,9.3,46.7,5.0,0.0,173.3,121.3,1740.0,14.34,16.0,393.3,299.0,249.5,82.0,5,16.0,24.58
33,Randall Cobb,GNB,WR,24,16,16.0,0.0,0.0,0.0,0.0,0.0,11.0,37.0,3.36,0.0,127.0,91.0,1287.0,14.14,12.0,293.0,298.4,247.9,81.0,6,17.0,18.31
34,Emmanuel Sanders,DEN,WR,27,16,16.0,0.0,0.0,0.0,0.0,0.0,8.0,44.0,5.5,0.0,141.0,101.0,1404.0,13.9,9.0,302.0,304.8,251.3,79.0,7,18.0,18.88
35,Julio Jones,ATL,WR,25,15,15.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,1.0,0.0,173.9,110.9,1699.2,15.32,6.4,316.8,301.4,245.4,72.0,8,19.0,19.8
36,Jeremy Maclin,PHI,WR,26,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,143.0,85.0,1318.0,15.51,10.0,277.0,279.8,234.3,70.0,9,20.0,17.31
37,Derek Carr,OAK,QB,23,16,16.0,348.0,599.0,3270.0,21.0,12.0,29.0,92.0,3.17,0.0,1.0,0.0,0.0,,0.0,192.0,211.0,204.0,,20,,12.0
38,Lamar Miller,MIA,RB,23,16,16.0,0.0,0.0,0.0,0.0,0.0,216.0,1099.0,5.09,8.0,52.0,38.0,275.0,7.24,1.0,223.0,232.4,204.4,64.0,9,22.0,13.94
39,Rob Gronkowski,NWE,TE,25,15,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,139.7,87.5,1198.9,13.71,12.8,283.7,269.4,225.4,94.0,1,11.0,17.73
40,Jeremy Hill,CIN,RB,22,16,8.0,0.0,0.0,0.0,0.0,0.0,222.0,1124.0,5.06,9.0,32.0,27.0,215.0,7.96,0.0,211.0,218.9,197.4,63.0,10,24.0,13.19
41,Ryan Fitzpatrick,HOU,QB,32,12,12.0,262.7,416.0,3310.7,22.7,10.7,66.7,245.3,3.68,2.7,0.0,0.0,0.0,,0.0,240.0,194.7,187.7,,21,,15.0
42,Teddy Bridgewater,MIN,QB,22,13,12.0,318.8,494.8,3592.6,17.2,14.8,57.8,257.2,4.45,1.2,0.0,0.0,0.0,,0.0,221.5,197.7,191.7,,22,,13.85
43,T.Y. Hilton,IND,WR,25,15,15.0,0.0,0.0,0.0,0.0,0.0,2.1,21.3,10.0,0.0,139.7,87.5,1434.7,16.4,7.5,278.4,262.5,217.5,57.0,10,25.0,17.4
44,C.J. Anderson,DEN,RB,23,15,7.0,0.0,0.0,0.0,0.0,0.0,190.9,905.6,4.74,8.5,46.9,36.3,345.6,9.53,2.1,225.1,217.3,194.3,56.0,11,26.0,14.07
45,Mike Evans,TAM,WR,21,15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,130.1,72.5,1121.1,15.46,12.8,261.3,248.1,211.1,56.0,11,27.0,16.33
46,Alshon Jeffery,CHI,WR,24,16,16.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,5.5,0.0,145.0,85.0,1133.0,13.33,10.0,262.0,264.6,219.1,55.0,12,28.0,16.38
47,Kyle Orton,BUF,QB,32,12,12.0,382.7,596.0,4024.0,24.0,13.3,20.0,18.7,0.93,1.3,0.0,0.0,0.0,,0.0,234.7,192.1,186.1,,23,,14.67
48,Blake Bortles,JAX,QB,22,14,13.0,320.0,542.9,3323.4,12.6,19.4,64.0,478.9,7.48,0.0,0.0,0.0,0.0,,0.0,198.9,192.2,185.2,,24,,12.43
49,LeSean McCoy,PHI,RB,26,16,16.0,0.0,0.0,0.0,0.0,0.0,312.0,1319.0,4.23,5.0,37.0,28.0,155.0,5.54,0.0,199.0,208.4,185.4,50.0,12,30.0,12.44
50,Alfred Morris,WAS,RB,26,16,16.0,0.0,0.0,0.0,0.0,0.0,265.0,1074.0,4.05,8.0,26.0,17.0,155.0,9.12,0.0,188.0,193.9,179.4,50.0,13,31.0,11.75
51,Joique Bell,DET,RB,28,15,6.0,0.0,0.0,0.0,0.0,0.0,237.9,917.3,3.86,7.5,56.5,36.3,343.5,9.47,1.1,213.3,205.2,181.2,45.0,14,34.0,13.33
52,Mark Ingram,NOR,RB,25,13,9.0,0.0,0.0,0.0,0.0,0.0,278.2,1186.5,4.27,11.1,44.3,35.7,178.5,5.0,0.0,236.3,198.9,177.4,42.0,15,36.0,14.77
53,Golden Tate,DET,WR,26,16,16.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,6.0,0.0,144.0,99.0,1331.0,13.44,4.0,261.0,262.1,209.6,41.0,13,38.0,16.31
54,Brian Hoyer,CLE,QB,29,14,13.0,276.6,500.6,3801.1,13.7,14.9,27.4,44.6,1.63,0.0,0.0,0.0,0.0,,0.0,181.7,173.9,169.9,,25,,11.36
55,Geno Smith,NYJ,QB,24,14,13.0,250.3,419.4,2885.7,14.9,14.9,67.4,272.0,4.03,1.1,1.1,0.0,0.0,,0.0,179.4,172.8,163.8,,26,,11.21
56,Calvin Johnson,DET,WR,29,13,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,157.5,87.4,1325.5,15.17,9.8,279.4,229.7,191.2,34.0,14,41.0,17.46
57,DeAndre Hopkins,HOU,WR,22,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,127.0,76.0,1210.0,15.92,6.0,231.0,235.0,193.0,33.0,15,42.0,14.44
58,Kelvin Benjamin,CAR,WR,23,16,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,145.0,73.0,1008.0,13.81,9.0,228.0,229.8,189.3,33.0,16,43.0,14.25
59,Antonio Gates,SDG,TE,34,16,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,98.0,69.0,821.0,11.9,12.0,223.0,226.1,188.6,64.0,2,23.0,13.94
60,DeSean Jackson,WAS,WR,28,15,13.0,0.0,0.0,0.0,0.0,0.0,4.3,7.5,1.75,0.0,101.3,59.7,1246.9,20.88,6.4,224.0,212.6,181.6,32.0,17,44.0,14.0
61,Matt Asiata,MIN,RB,27,15,9.0,0.0,0.0,0.0,0.0,0.0,174.9,608.0,3.48,9.6,67.2,46.9,332.8,7.09,1.1,206.9,201.2,172.2,29.0,16,46.0,12.93
62,Frank Gore,SFO,RB,31,16,16.0,0.0,0.0,0.0,0.0,0.0,255.0,1106.0,4.34,4.0,19.0,11.0,111.0,10.09,1.0,159.0,166.7,153.2,27.0,17,47.0,9.94
63,Mike Wallace,MIA,WR,28,16,16.0,0.0,1.0,0.0,0.0,0.0,4.0,16.0,4.0,0.0,115.0,67.0,862.0,12.87,10.0,213.0,216.8,179.3,24.0,18,48.0,13.31
64,Jimmy Graham,NOR,TE,28,16,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,125.0,85.0,889.0,10.46,10.0,230.0,234.9,187.4,55.0,3,29.0,14.38
65,Giovani Bernard,CIN,RB,23,13,9.0,0.0,0.0,0.0,0.0,0.0,206.8,836.9,4.05,6.2,72.6,52.9,429.5,8.12,2.5,231.4,193.9,166.4,24.0,18,49.0,14.46
66,Torrey Smith,BAL,WR,25,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,92.0,49.0,767.0,15.65,11.0,192.0,194.7,167.2,21.0,19,51.0,12.0
67,Steve Smith,BAL,WR,35,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,134.0,79.0,1065.0,13.48,6.0,220.0,223.5,180.0,19.0,20,53.0,13.75
68,Mark Sanchez,PHI,QB,28,9,8.0,352.0,549.3,4298.7,24.9,19.6,60.4,154.7,2.56,1.8,0.0,0.0,0.0,,0.0,247.1,156.4,150.4,,27,,15.44
69,Greg Olsen,CAR,TE,29,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,123.0,84.0,1008.0,12.0,6.0,221.0,223.8,178.8,47.0,4,33.0,13.81
70,Anquan Boldin,SFO,WR,34,16,16.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,130.0,83.0,1062.0,12.8,5.0,220.0,222.6,178.1,15.0,22,55.0,13.75
71,Brandon LaFell,NWE,WR,28,16,13.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,6.5,0.0,119.0,74.0,953.0,12.88,7.0,211.0,214.6,173.6,15.0,21,56.0,13.19
72,A.J. Green,CIN,WR,26,13,13.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,1.0,0.0,144.0,84.9,1281.2,15.09,7.4,252.3,210.3,170.8,15.0,23,57.0,15.77
73,Jordan Matthews,PHI,WR,22,16,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,103.0,67.0,872.0,13.01,8.0,202.0,205.2,168.7,14.0,24,59.0,12.62
74,Chris Ivory,NYJ,RB,26,16,10.0,0.0,0.0,0.0,0.0,0.0,198.0,821.0,4.15,6.0,27.0,18.0,123.0,6.83,1.0,152.0,159.4,143.4,13.0,19,60.0,9.5
75,Sammy Watkins,BUF,WR,21,16,16.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,0.0,128.0,65.0,982.0,15.11,6.0,198.0,202.0,165.5,11.0,25,62.0,12.38
76,Julian Edelman,NWE,WR,28,14,13.0,0.0,0.0,0.0,0.0,0.0,11.4,107.4,9.4,0.0,153.1,105.1,1110.9,10.57,4.6,257.1,231.6,182.6,11.0,26,63.0,16.07
77,Martellus Bennett,CHI,TE,27,16,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,128.0,90.0,916.0,10.18,6.0,222.0,224.6,176.6,41.0,5,37.0,13.88
78,Roddy White,ATL,WR,33,14,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,142.9,91.4,1052.6,11.51,8.0,242.3,216.1,172.1,11.0,27,64.0,15.14
79,Andre Ellington,ARI,RB,25,12,12.0,0.0,0.0,0.0,0.0,0.0,268.0,880.0,3.28,4.0,85.3,61.3,526.7,8.59,2.7,237.3,185.5,154.5,11.0,20,65.0,14.83
80,Andre Williams,NYG,RB,22,16,7.0,0.0,0.0,0.0,0.0,0.0,217.0,721.0,3.32,7.0,37.0,18.0,130.0,7.22,0.0,145.0,151.1,136.1,6.0,21,67.0,9.06
81,Josh McCown,TAM,QB,35,11,11.0,267.6,475.6,3208.7,16.0,20.4,36.4,184.7,5.08,4.4,0.0,0.0,0.0,,0.0,184.7,150.9,140.9,,28,,11.55
82,Eric Decker,NYJ,WR,27,15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,122.7,78.9,1026.1,13.0,5.3,213.3,203.2,163.2,5.0,28,68.0,13.33
83,Coby Fleener,IND,TE,26,16,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,92.0,51.0,774.0,15.18,8.0,176.0,179.4,150.9,35.0,6,40.0,11.0
84,Mohamed Sanu,CIN,WR,25,16,13.0,3.0,3.0,79.0,1.0,0.0,7.0,51.0,7.29,0.0,98.0,56.0,790.0,14.11,5.0,179.0,182.3,151.3,2.0,29,71.0,11.19
85,Fred Jackson,BUF,RB,33,14,9.0,0.0,1.1,0.0,0.0,0.0,161.1,600.0,3.72,2.3,102.9,75.4,572.6,7.59,1.1,216.0,194.6,155.6,2.0,22,72.0,13.5
86,Steven Jackson,ATL,RB,31,15,15.0,0.0,0.0,0.0,0.0,0.0,202.7,754.1,3.72,6.4,28.8,21.3,157.9,7.4,0.0,151.5,147.5,131.5,1.0,23,74.0,9.47
87,Malcom Floyd,SDG,WR,33,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,92.0,52.0,856.0,16.46,6.0,174.0,176.6,147.6,,30,,10.88
88,Julius Thomas,DEN,TE,26,13,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,76.3,52.9,601.8,11.37,14.8,201.8,166.9,142.4,31.0,7,45.0,12.62
89,Jonathan Stewart,CAR,RB,27,13,8.0,0.0,0.0,0.0,0.0,0.0,215.4,995.7,4.62,3.7,38.2,30.8,222.8,7.24,1.2,179.7,153.0,133.5,,24,78.0,11.23
90,Tre Mason,STL,RB,21,12,9.0,0.0,0.0,0.0,0.0,0.0,238.7,1020.0,4.27,5.3,34.7,21.3,197.3,9.25,1.3,180.0,142.3,127.3,,25,,11.25
91,Eddie Royal,SDG,WR,28,16,11.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,4.67,0.0,91.0,62.0,778.0,12.55,7.0,181.0,185.2,150.2,,31,,11.31
92,Nick Foles,PHI,QB,25,8,8.0,372.0,622.0,4326.0,26.0,20.0,32.0,136.0,4.25,0.0,0.0,0.0,0.0,,0.0,238.0,135.3,129.3,,29,,14.88
93,Michael Floyd,ARI,WR,25,16,14.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,99.0,47.0,841.0,17.89,6.0,165.0,169.3,141.8,,32,,10.31
94,Marques Colston,NOR,WR,31,16,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,59.0,902.0,15.29,5.0,177.0,181.2,147.7,,33,,11.06
95,Brandon Marshall,CHI,WR,30,13,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,130.5,75.1,887.4,11.82,9.8,220.3,183.1,148.6,,34,,13.77
96,Ahmad Bradshaw,IND,RB,28,10,1.0,0.0,0.0,0.0,0.0,0.0,144.0,680.0,4.72,3.2,75.2,60.8,480.0,7.89,9.6,248.0,162.5,135.5,,26,,15.5
97,Shane Vereen,NWE,RB,25,16,6.0,0.0,0.0,0.0,0.0,0.0,96.0,391.0,4.07,2.0,77.0,52.0,447.0,8.6,3.0,166.0,171.8,139.8,,27,,10.38
98,Delanie Walker,TEN,TE,30,15,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,113.1,67.2,949.3,14.13,4.3,187.7,179.0,144.5,23.0,8,50.0,11.73
99,Isaiah Crowell,CLE,RB,21,16,4.0,0.0,0.0,0.0,0.0,0.0,148.0,607.0,4.1,8.0,14.0,9.0,87.0,9.67,0.0,122.0,127.4,117.9,,28,,7.62
100,Rueben Randle,NYG,WR,23,16,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,127.0,71.0,938.0,13.21,3.0,183.0,185.8,147.3,,35,,11.44
101,Kenny Stills,NOR,WR,22,15,7.0,0.0,0.0,0.0,0.0,0.0,1.1,-2.1,-2.0,0.0,88.5,67.2,993.1,14.78,3.2,185.6,176.9,142.4,,36,,11.6
102,Kendall Wright,TEN,WR,25,14,11.0,0.0,0.0,0.0,0.0,0.0,4.6,61.7,13.5,0.0,106.3,65.1,817.1,12.54,6.9,192.0,171.9,139.4,,37,,12.0
103,Travis Kelce,KAN,TE,25,16,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,87.0,67.0,862.0,12.87,5.0,177.0,189.2,149.7,20.0,9,52.0,11.06
104,Vincent Jackson,TAM,WR,31,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,142.0,70.0,1002.0,14.31,2.0,180.0,184.2,145.2,,39,,11.25
105,Greg Jennings,MIN,WR,31,16,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,92.0,59.0,742.0,12.58,6.0,169.0,172.2,139.7,,38,,10.56
106,Terrance Williams,DAL,WR,25,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,66.0,37.0,621.0,16.78,8.0,147.0,150.1,128.6,,40,,9.19
107,Branden Oliver,SDG,RB,23,14,7.0,0.0,0.0,0.0,0.0,0.0,182.9,665.1,3.64,3.4,51.4,41.1,309.7,7.53,1.1,165.7,151.3,127.3,,29,,10.36
108,Rashad Jennings,NYG,RB,29,11,9.0,0.0,0.0,0.0,0.0,0.0,242.9,929.5,3.83,5.8,59.6,43.6,328.7,7.53,0.0,202.2,145.5,123.5,,30,,12.64
109,Austin Davis,STL,QB,25,10,8.0,288.0,454.4,3201.6,19.2,14.4,25.6,57.6,2.25,0.0,0.0,0.0,0.0,,0.0,172.8,122.6,116.6,,30,,10.8
110,Darren Sproles,PHI,RB,31,15,0.0,0.0,0.0,0.0,0.0,0.0,60.8,350.9,5.77,6.4,66.1,42.7,412.8,9.68,0.0,155.7,164.6,137.6,,31,,9.73
111,Andre Johnson,HOU,WR,33,15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,155.7,90.7,998.4,11.01,3.2,203.7,196.6,148.1,,41,,12.73
112,Carson Palmer,ARI,QB,35,6,6.0,376.0,597.3,4336.0,29.3,8.0,21.3,66.7,3.13,0.0,2.7,0.0,0.0,,0.0,282.7,110.5,106.5,,31,,17.67
113,Martavis Bryant,PIT,WR,23,10,3.0,0.0,0.0,0.0,0.0,0.0,4.8,19.2,4.0,0.0,76.8,41.6,878.4,21.12,12.8,208.0,133.1,117.1,,42,,13.0
114,Allen Hurns,JAX,WR,23,16,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,97.0,51.0,677.0,13.27,6.0,155.0,157.7,129.2,,43,,9.69
115,Terrance West,CLE,RB,23,14,6.0,0.0,0.0,0.0,0.0,0.0,195.4,769.1,3.94,4.6,14.9,12.6,73.1,5.82,1.1,129.1,116.7,107.2,,32,,8.07
116,Doug Baldwin,SEA,WR,26,16,16.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,0.0,98.0,66.0,825.0,12.5,3.0,167.0,170.3,134.3,,44,,10.44
117,James Jones,OAK,WR,30,16,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,112.0,73.0,666.0,9.12,6.0,174.0,177.6,137.1,,45,,10.88
118,Jason Witten,DAL,TE,32,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,90.0,64.0,703.0,10.98,5.0,164.0,167.3,132.3,10.0,10,66.0,10.25
119,Robert Woods,BUF,WR,22,16,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,104.0,65.0,699.0,10.75,5.0,165.0,168.9,132.4,,46,,10.31
120,Knile Davis,KAN,RB,23,16,1.0,0.0,0.0,0.0,0.0,0.0,134.0,463.0,3.46,6.0,25.0,16.0,147.0,9.19,1.0,115.0,129.0,113.0,,33,,7.19
121,John Brown,ARI,WR,24,16,5.0,0.0,0.0,0.0,0.0,0.0,3.0,-6.0,-2.0,0.0,102.0,48.0,696.0,14.5,5.0,147.0,150.0,123.0,,47,,9.19
122,Keenan Allen,SDG,WR,22,14,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,138.3,88.0,894.9,10.17,4.6,200.0,180.3,136.8,,48,,12.5
123,Jarvis Landry,MIA,WR,22,16,11.0,0.0,0.0,0.0,0.0,0.0,2.0,-4.0,-2.0,0.0,112.0,84.0,758.0,9.02,5.0,181.0,188.4,139.4,,49,,11.31
124,Andrew Hawkins,CLE,WR,28,15,15.0,0.0,0.0,0.0,0.0,0.0,3.2,16.0,5.0,0.0,119.5,67.2,878.9,13.08,2.1,169.6,161.9,127.4,,50,,10.6
125,Drew Stanton,ARI,QB,30,9,8.0,234.7,426.7,3041.8,12.4,8.9,44.4,112.0,2.52,0.0,0.0,0.0,0.0,,0.0,168.9,102.7,99.7,,32,,10.56
126,Heath Miller,PIT,TE,32,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,91.0,66.0,761.0,11.53,3.0,160.0,164.1,127.1,4.0,11,70.0,10.0
127,Michael Crabtree,SFO,WR,27,16,16.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,108.0,68.0,698.0,10.26,4.0,162.0,165.2,128.2,,52,,10.12
128,Kenny Britt,STL,WR,26,16,13.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,7.0,0.0,84.0,48.0,748.0,15.58,3.0,142.0,145.2,118.2,,51,,8.88
129,Andre Holmes,OAK,WR,26,16,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,99.0,47.0,693.0,14.74,4.0,140.0,143.3,116.8,,53,,8.75
130,Pierre Garcon,WAS,WR,28,16,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,105.0,68.0,752.0,11.06,3.0,161.0,164.2,127.2,,54,,10.06
131,Chris Johnson,NYJ,RB,29,16,6.0,0.0,0.0,0.0,0.0,0.0,155.0,663.0,4.28,1.0,34.0,24.0,151.0,6.29,1.0,115.0,122.4,103.4,,34,,7.19
132,Trent Richardson,IND,RB,24,15,12.0,0.0,0.0,0.0,0.0,0.0,169.6,553.6,3.26,3.2,36.3,28.8,244.3,8.48,0.0,125.9,124.8,104.3,,35,,7.87
