Rk,Name,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,Lng.1,R/G,Y/G.1,YScm,RRTD,Fmb
110,Ryan ,MIA,27.0,QB,16,16,32,141,1,28,4.4,8.8,2.0,1.0,1.0,9.0,9.0,0.0,9.0,0.1,0.6,150,1,10
111,Ahmad,IND,29.0,,6,0,31,85,0,23,2.7,14.2,5.2,14.0,10.0,64.0,6.4,3.0,10.0,1.7,10.7,149,3,0
112,Brand,SDG,24.0,rb,8,1,31,108,0,15,3.5,13.5,3.9,15.0,13.0,112.0,8.6,0.0,17.0,1.6,14.0,220,0,0
113,,NYJ,24.0,,8,0,31,89,1,18,2.9,11.1,3.9,12.0,9.0,65.0,7.2,0.0,16.0,1.1,8.1,154,1,0
114,Ma,MIN,28.0,,16,0,29,112,0,19,3.9,7.0,1.8,22.0,19.0,132.0,6.9,0.0,22.0,1.2,8.3,244,0,0
115,Te,ATL,23.0,,13,0,29,95,1,13,3.3,7.3,2.2,13.0,9.0,73.0,8.1,0.0,18.0,0.7,5.6,168,1,0
116,Kenj,PHI,26.0,,11,0,28,124,0,19,4.4,11.3,2.5,12.0,9.0,22.0,2.4,0.0,12.0,0.8,2.0,146,0,1
117,Kn,KAN,24.0,,14,0,28,72,1,10,2.6,5.1,2.0,3.0,2.0,24.0,12.0,0.0,12.0,0.1,1.7,96,1,0
118,Kerwynn,ARI,24.0,,6,0,27,142,1,35,5.3,23.7,4.5,2.0,2.0,16.0,8.0,0.0,12.0,0.3,2.7,158,1,1
119,Sam,PHI,28.0,QB,14,14,26,39,0,14,1.5,2.8,1.9,,,,,,,,,39,0,10
120,Kir,WAS,27.0,QB,16,16,26,48,5,13,1.8,3.0,1.6,,,,,,,,,48,5,9
121,Fre,SEA,34.0,,16,0,26,100,0,16,3.8,6.3,1.6,41.0,32.0,257.0,8.0,2.0,26.0,2.0,16.1,357,2,1
122,Br,SEA,24.0,,3,0,25,72,1,18,2.9,24.0,8.3,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,72,1,0
123,D,2TM,26.0,,10,0,25,79,0,8,3.2,7.9,2.5,10.0,9.0,47.0,5.2,0.0,9.0,0.9,4.7,126,0,1
124,Cars,ARI,36.0,QB,16,16,25,24,1,12,1.0,1.5,1.6,,,,,,,,,24,1,6
125,Fozzy ,CAR,26.0,rb,15,1,25,108,1,16,4.3,7.2,1.7,15.0,12.0,64.0,5.3,0.0,15.0,0.8,4.3,172,1,0
126,D,NOR,36.0,QB,15,15,24,14,1,12,0.6,0.9,1.6,,,,,,,,,14,1,5
127,Jamiz,OAK,26.0,fb,14,3,24,110,1,19,4.6,7.9,1.7,11.0,9.0,84.0,9.3,0.0,15.0,0.6,6.0,194,1,0
128,Ja,NWE,23.0,rb,14,1,22,56,2,8,2.5,4.0,1.6,54.0,40.0,410.0,10.3,4.0,68.0,2.9,29.3,466,6,0
129,Anth,BUF,28.0,rb,16,1,21,44,1,6,2.1,2.8,1.3,7.0,6.0,44.0,7.3,0.0,14.0,0.4,2.8,88,1,0
130,Steve,NWE,32.0,rb,2,1,21,50,1,7,2.4,25.0,10.5,1.0,1.0,20.0,20.0,0.0,20.0,0.5,10.0,70,1,0
131,Brock,DEN,25.0,qb,8,7,21,61,1,8,2.9,7.6,2.6,,,,,,,,,61,1,4
132,Tob,JAX,28.0,rb,7,1,20,44,0,6,2.2,6.3,2.9,5.0,3.0,23.0,7.7,0.0,8.0,0.4,3.3,67,0,0
133,El,NYG,34.0,QB,16,16,20,61,0,18,3.1,3.8,1.3,,,,,,,,,61,0,11
134,Jo,CLE,36.0,QB,8,8,20,98,1,13,4.9,12.3,2.5,,,,,,,,,98,1,9
135,Mic,PIT,35.0,qb,5,3,20,99,0,24,5.0,19.8,4.0,,,,,,,,,99,0,2
136,Jarv,MIA,23.0,WR,16,14,18,113,1,22,6.3,7.1,1.1,166.0,110.0,1157.0,10.5,4.0,50.0,6.9,72.3,1270,5,1
137,Juwan,DEN,23.0,fb,15,1,18,48,0,12,2.7,3.2,1.2,9.0,6.0,51.0,8.5,0.0,16.0,0.4,3.4,99,0,0
138,Fitzgerald ,PIT,25.0,,5,0,18,42,0,7,2.3,8.4,3.6,,,,,,,,,42,0,0
139,N,STL,26.0,QB,11,11,17,20,1,10,1.2,1.8,1.5,,,,,,,,,20,1,5
140,Jar,SFO,27.0,rb,8,1,17,52,0,11,3.1,6.5,2.1,7.0,6.0,27.0,4.5,0.0,7.0,0.8,3.4,79,0,3
141,,OAK,27.0,,9,0,17,39,0,12,2.3,4.3,1.9,16.0,9.0,75.0,8.3,1.0,15.0,1.0,8.3,114,1,0
142,A,HOU,22.0,rb,7,1,17,96,0,25,5.6,13.7,2.4,10.0,6.0,39.0,6.5,0.0,27.0,0.9,5.6,135,0,0
143,,BUF,25.0,qb,7,2,17,64,1,16,3.8,9.1,2.4,,,,,,,,,64,1,2
144,Phil,SDG,34.0,QB,16,16,17,28,0,8,1.6,1.8,1.1,,,,,,,,,28,0,4
145,Josh,IND,23.0,,5,0,17,39,0,8,2.3,7.8,3.4,6.0,6.0,33.0,5.5,0.0,9.0,1.2,6.6,72,0,1
146,Stepf,ARI,24.0,,16,0,17,58,0,16,3.4,3.6,1.1,3.0,1.0,4.0,4.0,0.0,4.0,0.1,0.3,62,0,0
147,Za,DET,24.0,rb,6,1,17,60,0,12,3.5,10.0,2.8,3.0,2.0,11.0,5.5,0.0,7.0,0.3,1.8,71,0,0
148,Kendal,SFO,25.0,,9,0,16,38,0,14,2.4,4.2,1.8,10.0,8.0,69.0,8.6,0.0,16.0,0.9,7.7,107,0,0
149,Matt H,IND,40.0,QB,8,8,16,15,0,10,0.9,1.9,2.0,,,,,,,,,15,0,3
150,Tai,OAK,27.0,,12,0,16,74,0,19,4.6,6.2,1.3,9.0,7.0,106.0,15.1,1.0,59.0,0.6,8.8,180,1,2
151,Brand,2TM,32.0,,6,4,16,47,1,11,2.9,7.8,2.7,,,,,,,,,47,1,2
152,Damien,MIA,23.0,,16,0,16,59,0,19,3.7,3.7,1.0,28.0,21.0,142.0,6.8,1.0,23.0,1.3,8.9,201,1,2
